"Longitude","Latitude","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Sunrise","Sunset","Tmin2","Tavg","Depart","Heat","DewPoint","TrapClusterNum_7","TrapClusterNum_9","TrapClusterNum_1","TrapClusterNum_5","TrapClusterNum_8","TrapClusterNum_6","TrapClusterNum_2","TrapClusterNum_10","TrapClusterNum_4","TrapClusterNum_3","Month_6","Month_8","Month_9","Month_10","Month_7","Month_5","ParasiticIn","Influenza","Tmax2","Tavg2","Heat2","Tmax","Tmin","Cool","StnPressure2","WetBulb2","FG2","BR2","TS","TSRA","TS2","TSRA2","HZ","RA","AvgSpeed2","AvgSpeed","ResultSpeed","RA45","RA45_2","pre45_1_2","pre45_1","PrecipTotal"
-87.687769,42.01743,0,1,0,0,0,3,5,0,0,0,444,1913,62,35,12,1,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,82,37,1,81,58,6,29.29,31,0,0,0,0,0,0,0,0,6.7,7.3,6.2,14,11,1,1,0
-87.748367,41.962728,0,1,0,0,0,1,0,0,0,0,459,1854,72,41,22,1,67,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.29,0.67,81,42,1,80,71,12,29.23,40,0,1,0,1,1,1,0,1,7.1,5.8,3.4,15,12,0,1,0.23
-87.756155,41.904194,0,0,1,0,70,45,0,0,0,0,528,1809,63,37,25,1,59,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.26,0.58,83,38,1,82,62,8,29.34,33,0,0,0,0,0,0,0,1,9.8,9.4,7,10,9,0,0,0
-87.654224,41.867108,0,0,1,0,0,2,0,0,0,0,528,1809,46,22,16,29,42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,66,21,30,67,46,1,29.46,19,0,0,0,0,0,0,0,0,6,5.6,1.8,19,13,1,1,0
-87.800515,41.916265,0,1,0,0,0,11,11,0,0,0,427,1928,60,36,10,1,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.26,0.58,82,36,1,83,58,7,29.44,31,0,0,0,0,0,0,0,0,5.4,4.8,4,16,19,0,1,0
-87.669539,41.71914,0,1,0,0,0,2,3,0,0,0,424,1929,71,43,23,1,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
-87.679447,41.801179,0,0,1,0,0,0,5,0,0,0,532,1760,48,17,4,6,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,59,19,4,58,46,1,29.65,16,0,0,0,0,0,0,0,0,3.7,3.3,1.4,13,13,0,1,0
-87.654491,41.891118,0,1,0,0,5,2,0,0,0,0,451,1904,73,47,27,1,73,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,92,48,1,91,72,18,29.11,45,0,0,0,0,0,0,0,1,8.8,9,6.2,11,10,0,1,1.31
-87.677737,41.836644,0,0,1,0,2,4,0,0,0,1,535,1756,66,41,30,1,58,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,89,43,1,88,63,12,29.41,34,0,0,0,0,0,0,0,0,12.8,13.1,12.9,18,12,1,1,0
-87.632085,41.921965,0,1,0,0,0,1,1,0,0,0,426,1928,63,35,11,1,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,77,35,1,77,62,6,29.28,28,0,0,0,0,0,0,0,0,11.2,10.9,8.8,15,15,0,0,0
-87.756155,41.904194,0,0,1,0,0,4,0,0,0,0,540,1748,48,20,14,3,44,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.57,62,20,3,62,48,1,29.38,20,0,0,0,0,0,0,0,0,6.4,7,5.9,13,13,0,1,0
-87.716277,41.846075,0,1,0,0,1,0,0,0,0,0,511,1837,61,36,19,1,58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,83,37,1,83,59,7,29.32,33,0,0,0,0,0,0,0,0,3.4,3.3,1.9,12,10,0,1,0
-87.785288,41.923738,0,1,0,0,0,2,0,0,0,0,432,1924,69,42,21,1,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.29,0.67,85,42,1,85,69,13,29.18,40,0,1,0,1,1,1,0,1,10.6,10.1,9.1,14,15,0,1,1.55
-87.562889,41.766202,0,1,0,0,0,1,0,0,0,0,456,1858,65,36,10,1,59,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
-87.559308,41.678618,0,1,0,0,0,7,11,0,0,3,426,1928,70,45,25,1,71,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,90,45,1,88,71,16,29.18,43,0,1,0,0,0,1,1,0,8,8.5,5.5,14,15,1,1,0.39
-87.66214,42.010412,0,1,0,0,0,0,5,1,0,1,416,1926,51,25,15,26,56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23,0.76,71,26,25,69,51,1,29.26,27,0,1,0,0,1,1,1,1,7.5,8,6.4,14.3362535630461,14.4391074161794,1,1,0.52
-87.60088,41.773215,0,0,1,0,4,5,0,0,0,0,521,1821,72,43,29,1,63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,91,47,1,90,66,14,29.31,38,0,0,0,0,0,0,0,1,6.7,6.5,6.4,18,12,1,1,0
-87.562889,41.766202,0,0,1,0,0,0,4,0,0,0,532,1760,48,17,4,6,40,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,59,19,4,58,46,1,29.65,16,0,0,0,0,0,0,0,0,3.7,3.3,1.4,13,13,0,1,0
-87.763416,41.801498,0,1,0,0,0,61,18,0,0,0,416,1930,66,41,24,1,67,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,88,42,1,86,65,12,29.03,39,0,1,1,1,1,1,0,0,10.5,11.6,7.2,17,17,1,1,3.97
-87.832763,41.944869,0,1,0,0,0,6,0,0,0,0,456,1858,65,36,10,1,59,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
-87.769279,41.994991,0,1,0,0,3,0,3,0,0,0,432,1924,69,42,21,1,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.29,0.67,85,42,1,85,69,13,29.18,40,0,1,0,1,1,1,0,1,10.6,10.1,9.1,14,15,0,1,1.55
-87.800991,41.95469,0,1,0,0,1,3,5,0,0,0,417,1923,51,21,17,30,48,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.26,0.8,63,22,29,64,47,1,29.16,21,0,1,0,0,0,0,0,1,8.1,7.6,5.2,16.3162312117209,19.6483478067053,1,1,0.42
-87.654491,41.891118,0,1,0,0,0,0,2,0,0,0,419,1931,56,28,16,13,55,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.26,0.8,71,29,2,70,56,1,29.47,29,0,0,0,0,0,0,0,0,8.2,8.3,7.6,18,18,0,1,0
-87.707973,41.682587,0,1,0,0,1,10,1,0,0,0,457,1856,63,38,18,1,55,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.26,0.6,86,40,1,86,60,9,29.44,32,0,0,0,0,0,0,0,0,4,3.8,1.5,14,11,1,0,0
-87.930995,41.957799,0,0,1,0,0,10,0,0,0,0,528,1809,63,37,25,1,59,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.26,0.58,83,38,1,82,62,8,29.34,33,0,0,0,0,0,0,0,1,9.8,9.4,7,10,9,0,0,0
-87.79518,41.921177,0,1,0,0,7,15,0,0,0,1,509,1840,69,40,22,1,67,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
-87.654224,41.867108,0,1,0,0,0,2,0,0,0,0,418,1931,73,46,28,1,69,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.26,0.8,91,47,1,92,70,17,29.45,41,0,1,0,1,0,0,1,0,8.1,7.1,6.1,19,18,0,1,0.16
-87.585413,41.726465,0,0,1,0,9,7,1,0,0,0,542,1744,67,39,31,1,65,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,83,40,1,85,63,10,29.29,38,0,0,1,0,0,1,0,1,9.4,10.5,7.9,14,10,1,1,0.27
-87.757639,41.964242,0,1,0,0,0,0,1,0,0,0,417,1923,47,27,11,24,44,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.28,0.85,80,29,2,79,44,1,29.23,23,0,0,0,0,0,0,0,0,7.2,6.7,5.8,13.1155290375629,12.0216409366304,1,1,0
-87.736812,41.798697,0,0,1,0,0,1,0,0,0,0,542,1744,60,30,22,1,57,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.26,0.6,70,30,1,70,60,1,29.44,29,0,1,0,0,0,0,0,1,6.3,7.3,5.4,11,10,1,0,0.16
-87.64997,41.723195,0,1,0,0,0,0,1,0,0,0,417,1923,51,21,17,30,48,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.26,0.8,63,22,29,64,47,1,29.16,21,0,1,0,0,0,0,0,1,8.1,7.6,5.2,16.3162312117209,19.6483478067053,1,1,0.42
-87.605294,41.750498,0,1,0,0,0,2,7,0,0,0,445,1911,61,36,10,1,57,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,82,37,1,81,61,7,29.29,31,0,0,0,0,0,0,0,0,7.1,7.8,7.6,11,14,0,1,0
-87.599862,41.673408,0,0,1,0,0,158,0,0,0,0,542,1744,67,39,31,1,65,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,83,40,1,85,63,10,29.29,38,0,0,1,0,0,1,0,1,9.4,10.5,7.9,14,10,1,1,0.27
-87.605294,41.750498,0,1,0,0,12,0,0,0,0,0,514,1832,69,43,26,1,64,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,87,43,1,89,66,14,29.36,38,1,1,0,0,0,0,1,0,4.6,4.7,3.9,12,10,0,0,0
-87.756155,41.904194,0,1,0,0,9,13,0,0,0,0,503,1848,67,41,23,1,63,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.25,0.57,86,42,1,87,64,12,29.23,37,0,0,0,0,0,0,0,0,5.8,5.2,3.3,12,9,0,1,0
-87.565666,41.704572,0,1,0,0,33,46,0,0,0,0,446,1910,73,46,26,1,66,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,47,1,91,70,17,29.31,41,0,0,0,0,0,0,1,0,7.2,5.9,5.5,11,12,0,1,0
-87.666014,41.720848,0,1,0,0,0,2,2,0,0,0,510,1839,61,36,19,1,61,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.26,0.6,82,37,1,83,59,7,29.39,34,0,0,0,0,0,0,0,0,8.6,9.2,9.1,12,11,0,0,0
-87.777921,42.008314,0,1,0,0,1,67,14,0,0,0,418,1931,72,43,25,1,60,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.28,0.85,86,44,1,86,69,14,29.2,36,0,0,0,0,0,0,0,0,8,8.2,6.4,15,15,1,1,0
-87.832763,41.944869,0,1,0,0,0,5,10,0,0,0,423,1930,63,38,19,1,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.26,0.6,85,39,1,86,60,9,29.2,32,0,0,0,0,0,0,0,0,5.5,7.8,7.5,17,16,1,1,0
-87.543067,41.737052,0,1,0,0,4,1,0,0,0,0,506,1843,70,45,27,1,71,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,90,45,1,90,69,16,29.29,42,0,1,1,1,0,1,0,1,8.4,9.5,5.3,18,14,1,1,0.37
-87.666455,41.9216,0,1,0,0,10,23,0,0,0,0,445,1911,69,46,26,1,62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,45,1,92,69,17,29.34,39,0,0,0,0,0,0,1,0,3.7,4.1,3.5,12,13,0,1,0
-87.930995,41.957799,0,1,0,0,0,13,3,0,0,0,511,1837,61,36,19,1,58,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.25,0.57,83,37,1,83,59,7,29.32,33,0,0,0,0,0,0,0,0,3.4,3.3,1.9,12,10,0,1,0
-87.728492,41.984809,0,1,0,0,4,9,3,0,0,1,442,1915,74,44,23,1,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.25,0.57,86,45,1,86,71,15,29.34,41,0,1,0,0,0,1,0,0,5.6,5.9,4.3,14,12,1,1,0.7
-87.612922,41.754676,0,0,1,0,2,2,0,0,0,0,528,1809,63,37,25,1,59,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.26,0.58,83,38,1,82,62,8,29.34,33,0,0,0,0,0,0,0,1,9.8,9.4,7,10,9,0,0,0
-87.736812,41.798697,0,1,0,0,1,8,0,0,0,0,444,1913,62,35,12,1,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,82,37,1,81,58,6,29.29,31,0,0,0,0,0,0,0,0,6.7,7.3,6.2,14,11,1,1,0
-87.800515,41.916265,0,1,0,0,1,20,0,0,0,0,416,1927,50,27,14,24,49,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.28,0.85,72,26,25,74,49,1,29.3,24,0,0,0,0,0,0,0,1,6.7,5.8,4.4,15.2951659155589,11.1275750174246,1,1,0
-87.562889,41.766202,0,1,0,0,0,19,6,0,0,0,427,1928,60,36,10,1,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,82,36,1,83,58,7,29.44,31,0,0,0,0,0,0,0,0,5.4,4.8,4,16,19,0,1,0
-87.671457,41.947227,0,1,0,0,0,0,6,0,0,0,417,1931,60,29,15,2,56,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.23,0.76,68,29,2,68,60,1,29.13,28,0,0,0,0,0,0,0,0,8.7,9.6,9.4,20,16,1,1,0
-87.66214,42.010412,0,1,0,0,0,0,1,0,0,0,429,1926,71,44,23,1,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,86,44,1,87,70,15,29.33,36,0,0,0,0,0,0,0,0,6.8,6.7,5.4,13,13,1,0,0
-87.666343,41.822536,0,1,0,0,0,1,0,0,0,0,442,1915,74,44,23,1,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,86,45,1,86,71,15,29.34,41,0,1,0,0,0,1,0,0,5.6,5.9,4.3,14,12,1,1,0.7
-87.562889,41.766202,0,1,0,0,0,5,0,0,0,0,506,1843,67,38,20,1,67,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,78,38,1,78,68,9,29.42,37,0,0,0,0,0,0,0,1,7,7,1.5,12,11,0,0,0.23
-87.632085,41.921965,0,1,0,0,0,14,3,0,0,0,423,1930,63,38,19,1,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,85,39,1,86,60,9,29.2,32,0,0,0,0,0,0,0,0,5.5,7.8,7.5,17,16,1,1,0
-87.752411,41.778297,0,1,0,0,0,6,2,0,0,0,459,1854,57,30,15,1,53,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,74,31,1,75,55,1,29.47,27,0,0,0,0,0,0,0,0,5,4.9,4.2,11,12,0,0,0
-87.654491,41.891118,0,1,0,0,0,1,1,0,0,0,419,1920,50,19,2,4,46,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,61,21,30,60,48,1,29.42,20,0,1,0,0,0,0,0,1,9.2,8,7.4,12.0883152079486,11.048196270827,1,1,0.12
-87.632085,41.921965,0,1,0,0,0,5,0,0,0,0,438,1918,73,46,25,1,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,90,47,1,88,73,17,29.25,40,0,0,0,0,0,0,0,0,6.1,6.5,3.4,14,12,1,1,0
-87.777921,42.008314,0,0,1,0,16,6,0,0,0,0,522,1819,62,37,23,1,58,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.26,0.58,85,39,1,86,57,8,29.44,32,0,0,0,0,0,0,0,0,6,6,4.7,11,11,0,0,0
-87.582699,41.729669,0,0,1,0,10,7,0,0,0,0,541,1746,71,44,36,1,63,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,91,46,1,90,68,15,29.34,38,0,0,0,0,0,0,0,0,10.5,11.9,11.4,13,10,1,1,0
-87.777189,41.960616,0,1,0,0,0,1,2,0,0,0,416,1930,66,41,24,1,67,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.28,0.85,88,42,1,86,65,12,29.03,39,0,1,1,1,1,1,0,0,10.5,11.6,7.2,17,17,1,1,3.97
-87.666901,41.868077,0,1,0,0,4,21,3,0,0,0,452,1903,69,37,1,1,56,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,79,39,1,78,65,8,29.33,31,0,0,0,0,0,0,0,0,10.8,9.3,8.6,11,15,0,1,0
-87.707973,41.682587,0,1,0,0,0,28,0,0,0,0,424,1929,71,43,23,1,71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
-87.778927,41.776156,0,1,0,0,0,5,0,0,0,0,423,1930,63,38,19,1,54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,85,39,1,86,60,9,29.2,32,0,0,0,0,0,0,0,0,5.5,7.8,7.5,17,16,1,1,0
-87.678649,41.768388,0,1,0,0,0,0,3,0,0,0,417,1923,47,27,11,24,44,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.28,0.85,80,29,2,79,44,1,29.23,23,0,0,0,0,0,0,0,0,7.2,6.7,5.8,13.1155290375629,12.0216409366304,1,1,0
-87.702575,41.958271,0,1,0,0,4,12,5,0,0,0,445,1911,69,46,26,1,62,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,91,45,1,92,69,17,29.34,39,0,0,0,0,0,0,1,0,3.7,4.1,3.5,12,13,0,1,0
