"ID","Tmax2.i","RA45.2i","PT45_gt052.i"
333,78,11,1
334,80,11,1
335,69,11,1
336,65,12,1
337,61,12,1
338,62,12,1
339,62,12,1
340,59,13,1
341,60,13,1
342,61,13,1
343,70,12,1
344,65,13,1
345,63,14,1
346,69,14,1
347,73,14,1
348,80,14,1
349,86,13,1
350,79,13,1
351,70,13,1
352,64,14,1
353,59,14,1
354,56,13,1
355,60,14,1
356,62,13,1
357,56,13,1
358,55,12,1
359,54,12,1
360,60,12,1
361,56,13,1
362,53,13,1
363,56,14,1
364,47,14,1
365,45,13,1
366,51,12,1
367,63,12,1
368,71,12,1
369,62,13,1
370,65,13,1
371,70,13,1
372,70,13,1
373,70,13,1
374,75,14,1
375,77,15,1
376,74,15,1
377,64,15,1
378,67,16,1
379,61,16,1
380,72,16,1
381,71,16,1
382,69,16,1
383,63,17,1
384,62,17,1
385,59,16,1
386,67,16,1
387,80,15,1
388,85,15,1
389,85,14,1
390,70,13,1
391,79,13,1
392,70,13,1
393,64,14,1
394,76,15,1
395,75,15,1
396,64,15,1
397,77,14,1
398,79,14,1
399,72,14,1
400,80,14,1
401,61,15,1
402,61,14,1
403,68,14,1
404,80,14,1
405,66,14,1
406,74,14,1
407,82,15,1
408,67,14,1
409,67,14,1
410,60,15,1
411,72,15,1
412,66,16,1
413,76,16,1
414,81,15,1
415,71,16,1
416,73,16,1
417,81,16,1
418,88,17,1
419,88,16,1
420,86,16,1
421,89,16,1
422,92,16,1
423,93,15,1
424,93,15,1
425,86,15,1
426,90,15,1
427,83,15,1
428,78,14,1
429,68,14,1
430,65,15,1
431,73,15,1
432,79,15,1
433,69,16,1
434,82,16,1
435,85,16,1
436,76,16,1
437,68,17,1
438,80,16,1
439,84,16,1
440,85,16,1
441,82,16,1
442,78,16,1
443,81,16,1
444,86,17,1
445,82,16,1
446,70,16,1
447,73,16,1
448,73,16,1
449,76,16,1
450,82,15,1
451,79,14,1
452,79,13,1
453,83,14,1
454,81,13,1
455,82,12,1
456,84,13,1
457,86,12,1
458,79,12,1
459,80,12,1
460,82,11,1
461,75,11,1
462,79,11,1
463,86,11,1
464,86,11,1
465,79,10,1
466,81,10,1
467,74,11,1
468,89,12,1
469,92,12,1
470,86,12,1
471,81,11,1
472,82,11,1
473,86,11,1
474,88,11,1
475,89,10,1
476,90,11,1
477,83,12,1
478,84,11,1
479,81,11,1
480,79,12,1
481,74,13,1
482,69,12,1
483,73,12,1
484,79,11,1
485,82,11,1
486,72,12,1
487,67,13,1
488,71,14,1
489,69,13,1
490,66,13,1
491,67,12,1
492,71,12,1
493,72,12,1
494,75,12,1
495,75,12,1
496,78,12,1
497,77,12,1
498,77,11,1
499,78,11,1
500,77,11,1
501,80,10,1
502,78,10,1
503,78,10,1
504,79,10,1
505,84,10,1
506,83,10,1
507,72,10,1
508,71,9,1
509,79,9,1
510,75,9,1
511,71,10,1
512,69,9,1
513,76,9,1
514,76,9,1
515,71,9,1
516,70,10,1
517,66,10,1
518,74,10,1
519,63,11,1
520,58,11,1
521,61,10,1
522,59,10,1
523,56,11,1
524,58,12,1
525,61,11,1
526,61,10,1
527,62,11,1
528,60,11,1
529,54,12,1
530,52,13,1
531,48,12,1
532,45,11,1
533,49,11,1
534,48,11,1
535,48,12,1
536,44,13,1
537,46,14,1
538,52,15,1
539,53,15,1
540,66,15,1
541,64,16,1
542,70,16,1
543,58,17,1
544,62,18,1
545,49,19,1
546,63,20,1
547,55,21,1
548,52,22,1
549,58,22,1
550,60,23,1
551,68,24,1
552,47,24,1
553,71,25,1
554,68,26,1
555,72,26,1
556,80,25,1
557,73,25,1
558,60,24,1
559,59,25,1
560,50,26,1
561,56,25,1
562,58,26,1
563,59,27,1
564,53,27,1
565,78,28,1
566,67,28,1
567,63,27,1
568,66,26,1
569,60,26,1
570,62,26,1
571,73,26,1
572,72,26,1
573,72,27,1
574,72,26,1
575,89,25,1
576,91,25,1
577,87,25,1
578,85,25,1
579,77,25,1
580,76,24,1
581,84,23,1
582,91,22,1
583,84,22,1
584,84,22,1
585,77,23,1
586,71,22,1
587,83,22,1
588,79,22,1
589,75,22,1
590,69,21,1
591,67,21,1
592,83,20,1
593,75,19,1
594,88,19,1
595,77,19,1
596,73,19,1
597,72,20,1
598,79,20,1
599,86,19,1
600,84,19,1
601,91,20,1
602,86,20,1
603,80,20,1
604,85,19,1
605,86,18,1
606,87,19,1
607,81,18,1
608,84,17,1
609,88,17,1
610,87,16,1
611,82,16,1
612,73,16,1
613,76,16,1
614,77,15,1
615,83,15,1
616,87,15,1
617,92,14,1
618,90,13,1
619,91,14,1
620,94,14,1
621,87,15,1
622,87,15,1
623,89,14,1
624,85,15,1
625,84,16,1
626,84,17,1
627,91,17,1
628,92,16,1
629,90,16,1
630,92,15,1
631,91,15,1
632,84,16,1
633,85,15,1
634,90,14,1
635,90,15,1
636,95,15,1
637,87,16,1
638,81,16,1
639,84,16,1
640,88,15,1
641,91,14,1
642,81,13,1
643,79,13,1
644,78,14,1
645,84,14,1
646,84,14,1
647,87,15,1
648,81,16,1
649,84,16,1
650,82,16,1
651,84,15,1
652,87,15,1
653,89,15,1
654,88,14,1
655,90,14,1
656,89,14,1
657,93,15,1
658,88,15,1
659,84,15,1
660,80,15,1
661,79,16,1
662,83,17,1
663,87,17,1
664,93,17,1
665,86,18,1
666,80,17,1
667,78,17,1
668,81,17,1
669,79,16,1
670,78,15,1
671,83,14,1
672,87,14,1
673,93,14,1
674,88,14,1
675,92,14,1
676,80,15,1
677,83,15,1
678,72,15,1
679,68,16,1
680,77,15,1
681,84,14,1
682,79,13,1
683,71,13,1
684,68,13,1
685,72,13,1
686,75,14,1
687,83,14,1
688,82,13,1
689,77,12,1
690,75,13,1
691,70,12,1
692,74,11,1
693,66,11,1
694,68,12,1
695,77,12,1
696,89,13,1
697,75,13,1
698,90,13,1
699,79,14,1
700,60,15,1
701,60,16,1
702,63,16,1
703,70,16,1
704,76,16,1
705,75,16,1
706,74,16,1
707,55,16,1
708,57,17,1
709,59,16,1
710,66,15,1
711,78,15,1
712,76,15,1
713,79,15,1
714,87,15,1
715,84,15,1
716,81,15,1
717,76,15,1
718,63,15,1
719,66,15,1
720,62,15,1
721,71,14,1
722,64,13,0
723,60,13,0
724,61,12,0
725,70,12,0
726,56,12,0
727,65,12,0
728,67,13,0
729,73,13,1
730,72,13,1
731,71,13,1
732,65,13,1
733,46,13,1
734,50,13,1
735,63,12,1
736,52,12,1
737,64,12,1
738,60,11,1
739,51,10,1
740,57,10,1
741,62,10,1
742,69,10,1
743,60,10,1
744,68,9,1
745,74,8,1
746,91,7,1
747,88,6,1
748,87,6,1
749,77,6,1
750,51,7,1
751,48,7,1
752,53,6,1
753,60,5,1
754,61,6,1
755,73,6,1
756,72,6,1
757,76,6,1
758,88,6,1
759,80,6,1
760,69,6,1
761,75,7,1
762,50,8,1
763,58,9,1
764,64,10,1
765,72,11,1
766,90,11,1
767,88,12,1
768,82,12,1
769,69,13,1
770,88,14,1
771,91,14,1
772,84,14,1
773,94,13,1
774,96,13,1
775,96,13,1
776,69,12,1
777,71,12,1
778,65,13,1
779,64,13,1
780,71,13,1
781,77,13,1
782,72,14,1
783,81,15,1
784,82,15,1
785,83,15,1
786,83,14,1
787,80,14,1
788,89,15,1
789,75,15,1
790,72,16,1
791,68,16,1
792,78,17,1
793,80,17,1
794,80,18,1
795,81,17,1
796,80,16,1
797,89,17,1
798,89,18,1
799,93,17,1
800,86,17,1
801,88,17,1
802,92,17,1
803,87,17,1
804,81,18,1
805,86,18,1
806,90,17,1
807,91,16,1
808,90,15,1
809,88,15,1
810,74,14,1
811,82,14,1
812,86,13,1
813,90,13,1
814,95,12,1
815,93,11,1
816,92,11,1
817,100,11,1
818,101,11,1
819,100,11,1
820,87,12,1
821,87,12,1
822,90,12,1
823,85,11,1
824,92,11,1
825,88,12,1
826,86,12,1
827,91,11,1
828,91,10,1
829,91,10,1
830,93,10,1
831,87,10,1
832,82,10,0
833,84,9,0
834,85,10,1
835,87,10,1
836,80,11,1
837,82,10,1
838,78,10,1
839,81,9,1
840,82,9,1
841,84,10,1
842,75,10,1
843,80,9,1
844,83,9,1
845,83,9,1
846,85,9,1
847,86,9,1
848,79,10,1
849,81,10,1
850,82,10,1
851,74,11,1
852,91,11,1
853,80,11,1
854,83,10,1
855,83,10,1
856,77,10,1
857,78,10,1
858,79,11,1
859,88,11,1
860,94,11,1
861,94,11,1
862,87,11,1
863,74,12,1
864,67,12,1
865,66,11,1
866,70,11,1
867,74,12,1
868,72,13,1
869,76,13,1
870,83,12,1
871,86,12,1
872,76,12,1
873,60,13,1
874,60,13,1
875,59,13,1
876,69,13,1
877,66,14,1
878,68,15,1
879,75,14,1
880,72,13,1
881,63,12,1
882,62,13,1
883,63,14,1
884,65,15,1
885,63,16,1
886,63,16,1
887,64,16,1
888,66,17,1
889,58,18,1
890,56,18,1
891,65,18,1
892,70,18,1
893,74,17,1
894,80,16,1
895,81,16,1
896,84,15,1
897,82,15,1
898,80,15,1
899,77,15,1
900,78,15,1
901,77,15,1
902,64,16,1
903,61,15,1
904,61,15,1
905,60,16,1
906,57,16,1
907,54,17,1
908,49,17,1
909,46,18,1
910,54,18,1
911,66,18,1
912,67,18,1
913,63,18,1
914,74,18,1
915,54,18,1
916,51,19,1
917,54,19,1
918,54,18,1
919,57,19,1
920,53,19,1
921,64,20,1
922,78,19,1
923,86,19,1
924,72,19,1
925,63,19,1
926,73,19,1
927,61,19,1
928,70,18,1
929,60,17,1
930,65,16,1
931,78,15,1
932,67,15,1
933,69,14,1
934,78,13,1
935,84,14,1
936,63,14,1
937,71,14,1
938,85,14,1
939,91,14,1
940,92,15,1
941,65,15,1
942,68,15,1
943,82,15,1
944,90,15,1
945,80,15,1
946,82,15,1
947,97,14,1
948,94,15,1
949,85,15,1
950,69,14,1
951,55,15,1
952,64,15,1
953,74,14,1
954,80,13,1
955,74,13,1
956,69,13,1
957,74,12,1
958,78,11,1
959,87,11,1
960,89,11,1
961,92,10,1
962,90,10,1
963,77,10,1
964,71,9,1
965,86,9,1
966,93,8,1
967,94,9,1
968,85,9,1
969,92,9,1
970,94,9,1
971,93,9,1
972,83,8,1
973,83,8,1
974,86,8,1
975,92,8,1
976,74,8,1
977,81,7,1
978,90,7,1
979,101,7,1
980,88,7,1
981,89,7,1
982,90,8,1
983,97,8,1
984,95,8,1
985,101,7,1
986,102,8,1
987,104,8,1
988,98,8,1
989,85,8,1
990,88,8,1
991,82,8,1
992,86,8,1
993,90,7,1
994,93,7,1
995,89,7,1
996,95,6,1
997,98,5,1
998,99,5,1
999,91,5,1
1000,85,6,1
1001,82,6,1
1002,89,6,1
1003,90,6,1
1004,98,6,1
1005,88,7,1
1006,101,7,1
1007,89,7,1
1008,87,7,1
1009,83,7,1
1010,88,7,1
1011,93,7,1
1012,86,6,1
1013,89,5,1
1014,93,5,1
1015,94,5,1
1016,95,5,1
1017,85,5,1
1018,86,5,1
1019,94,5,1
1020,84,6,1
1021,77,7,1
1022,76,8,1
1023,79,8,1
1024,77,8,1
1025,72,8,1
1026,82,8,1
1027,86,7,1
1028,76,8,1
1029,77,8,1
1030,78,8,1
1031,79,7,1
1032,76,8,1
1033,79,8,1
1034,84,8,1
1035,91,8,1
1036,93,8,1
1037,94,8,1
1038,81,9,1
1039,88,9,1
1040,85,9,1
1041,84,9,1
1042,91,9,1
1043,93,9,1
1044,78,10,1
1045,81,9,1
1046,87,9,1
1047,89,10,1
1048,86,10,1
1049,86,10,1
1050,78,10,1
1051,73,11,1
1052,72,11,1
1053,77,11,1
1054,84,11,1
1055,87,11,1
1056,72,12,1
1057,75,12,1
1058,79,12,1
1059,78,12,1
1060,79,13,1
1061,64,13,1
1062,74,13,1
1063,72,13,1
1064,61,14,1
1065,60,14,1
1066,62,13,1
1067,71,12,1
1068,77,12,1
1069,69,12,1
1070,68,11,1
1071,67,11,1
1072,79,11,1
1073,67,10,1
1074,66,10,1
1075,69,10,1
1076,69,11,1
1077,81,11,1
1078,51,12,1
1079,50,12,1
1080,51,12,1
1081,60,12,1
1082,67,13,1
1083,52,12,0
1084,67,13,0
1085,53,13,0
1086,68,14,0
1087,72,15,1
1088,60,15,1
1089,70,14,1
1090,69,15,1
1091,55,16,1
1092,53,16,1
1093,58,16,1
1094,70,16,1
1095,67,16,1
1096,69,16,1
1097,79,16,1
1098,77,17,1
1099,51,17,1
1100,48,17,1
1101,50,17,1
1102,51,17,1
1103,47,17,1
1104,49,17,1
1105,85,16,1
1106,71,16,1
1107,50,17,1
1108,72,17,1
1109,70,16,1
1110,70,15,1
1111,76,15,1
1112,77,15,1
1113,76,16,1
1114,50,16,1
1115,62,16,1
1116,55,16,1
1117,61,16,1
1118,90,16,1
1119,83,16,1
1120,81,16,1
1121,73,15,1
1122,79,14,1
1123,87,13,1
1124,92,13,1
1125,82,14,1
1126,73,15,1
1127,56,15,1
1128,57,15,1
1129,57,14,1
1130,67,15,1
1131,65,15,1
1132,76,15,1
1133,85,16,1
1134,84,17,1
1135,78,17,1
1136,76,16,1
1137,63,15,1
1138,68,15,1
1139,72,15,1
1140,76,15,1
1141,65,15,1
1142,68,15,1
1143,74,14,1
1144,83,15,1
1145,75,16,1
1146,84,16,1
1147,87,17,1
1148,72,17,1
1149,76,17,1
1150,81,18,1
1151,83,18,1
1152,88,17,1
1153,70,18,1
1154,75,18,1
1155,86,18,1
1156,85,18,1
1157,83,18,1
1158,89,17,1
1159,86,17,1
1160,87,18,1
1161,81,19,1
1162,91,19,1
1163,83,20,1
1164,72,21,1
1165,76,21,1
1166,75,21,1
1167,68,22,1
1168,74,23,1
1169,83,23,1
1170,87,22,1
1171,82,21,1
1172,89,20,1
1173,87,21,1
1174,85,22,1
1175,87,21,1
1176,80,20,1
1177,82,19,1
1178,83,18,1
1179,88,17,1
1180,91,16,1
1181,93,16,1
1182,95,16,1
1183,96,16,1
1184,97,16,1
1185,88,16,1
1186,89,15,1
1187,90,15,1
1188,80,15,1
1189,73,14,1
1190,81,13,1
1191,74,13,1
1192,68,12,1
1193,71,13,1
1194,76,13,1
1195,74,13,1
1196,75,14,1
1197,82,14,1
1198,86,14,1
1199,79,14,1
1200,74,15,1
1201,76,15,1
1202,85,15,1
1203,91,15,1
1204,79,15,1
1205,84,14,1
1206,81,13,1
1207,84,13,1
1208,85,13,1
1209,71,12,1
1210,71,12,1
1211,74,12,1
1212,82,11,1
1213,79,10,1
1214,81,10,1
1215,86,10,1
1216,88,10,1
1217,91,11,1
1218,78,11,1
1219,81,10,1
1220,86,10,1
1221,89,10,1
1222,92,10,1
1223,96,10,1
1224,83,10,1
1225,87,10,1
1226,96,11,1
1227,77,12,1
1228,84,12,1
1229,77,12,1
1230,76,11,1
1231,84,11,1
1232,74,11,1
1233,85,11,1
1234,87,11,1
1235,78,11,1
1236,94,10,1
1237,96,10,1
1238,92,9,1
1239,83,9,1
1240,67,8,1
1241,72,7,1
1242,62,8,1
1243,64,7,1
1244,70,7,1
1245,82,6,1
1246,84,7,1
1247,77,7,1
1248,67,7,1
1249,67,7,1
1250,67,7,1
1251,91,7,1
1252,71,7,1
1253,75,6,1
1254,80,6,1
1255,85,7,1
1256,84,8,1
1257,76,8,1
1258,79,8,1
1259,77,8,1
1260,78,9,1
1261,76,9,1
1262,81,8,1
1263,76,8,1
1264,67,8,1
1265,76,8,1
1266,70,8,1
1267,75,8,1
1268,77,8,1
1269,73,8,1
1270,65,8,1
1271,62,7,1
1272,65,7,1
1273,54,7,1
1274,54,8,1
1275,50,8,1
1276,54,9,1
1277,65,10,1
1278,55,11,1
1279,41,12,1
1280,46,13,1
1281,44,13,1
1282,51,13,1
1283,55,13,1
1284,55,13,1
1285,54,13,1
1286,57,14,1
1287,64,14,1
1288,65,15,1
1289,50,16,1
1290,80,17,1
1291,68,16,1
1292,61,16,1
1293,59,17,1
1294,63,17,1
1295,80,18,1
1296,93,18,1
1297,76,19,1
1298,77,19,1
1299,85,19,1
1300,86,19,1
1301,70,19,1
1302,57,20,1
1303,57,21,1
1304,45,22,1
1305,61,21,1
1306,70,21,1
1307,71,22,1
1308,87,21,1
1309,89,21,1
1310,69,21,1
1311,68,21,1
1312,74,21,1
1313,85,21,1
1314,90,21,1
1315,85,22,1
1316,73,23,1
1317,77,22,1
1318,79,22,1
1319,89,21,1
1320,92,21,1
1321,85,20,1
1322,82,19,1
1323,72,19,1
1324,75,18,1
1325,82,17,1
1326,85,18,1
1327,70,19,1
1328,79,19,1
1329,70,20,1
1330,69,21,1
1331,82,20,1
1332,75,19,1
1333,80,18,1
1334,86,17,1
1335,90,16,1
1336,93,16,1
1337,85,17,1
1338,82,17,1
1339,86,18,1
1340,85,18,1
1341,82,18,1
1342,84,18,1
1343,85,19,1
1344,79,19,1
1345,77,18,1
1346,91,17,1
1347,88,16,1
1348,88,15,1
1349,88,15,1
1350,84,16,1
1351,74,17,1
1352,75,17,1
1353,79,17,1
1354,79,18,1
1355,89,18,1
1356,89,18,1
1357,84,19,1
1358,81,19,1
1359,78,19,1
1360,83,18,1
1361,81,18,1
1362,86,18,1
1363,81,18,1
1364,71,19,1
1365,73,19,1
1366,78,19,1
1367,81,19,1
1368,80,18,1
1369,84,18,1
1370,87,18,1
1371,91,17,1
1372,76,16,1
1373,75,16,1
1374,77,15,1
1375,85,14,1
1376,89,14,1
1377,73,14,1
1378,81,14,1
1379,80,14,1
1380,85,14,1
1381,83,15,1
1382,84,14,1
1383,87,13,1
1384,88,13,1
1385,80,13,1
1386,81,13,1
1387,81,12,1
1388,82,11,1
1389,80,11,1
1390,82,11,1
1391,84,12,1
1392,70,13,1
1393,83,13,1
1394,73,12,1
1395,79,11,1
1396,81,10,1
1397,72,9,1
1398,85,9,1
1399,86,9,1
1400,87,9,1
1401,83,10,1
1402,87,10,1
1403,87,10,1
1404,89,10,1
1405,92,10,1
1406,86,9,1
1407,81,9,1
1408,77,10,1
1409,88,9,1
1410,86,9,1
1411,87,9,1
1412,85,9,1
1413,85,9,1
1414,85,9,1
1415,87,10,1
1416,89,11,1
1417,76,11,1
1418,79,11,1
1419,79,11,1
1420,81,12,1
1421,82,13,1
1422,58,13,1
1423,57,14,1
1424,60,14,1
1425,67,14,1
1426,62,14,1
1427,69,14,1
1428,72,14,1
1429,72,13,1
1430,76,12,1
1431,80,13,1
1432,70,13,1
1433,69,13,1
1434,76,13,1
1435,77,13,1
1436,78,12,1
1437,81,11,1
1438,79,11,1
1439,79,11,1
1440,84,12,1
1441,61,12,1
1442,73,13,1
1443,75,14,1
1444,68,14,1
1445,49,15,1
1446,56,15,1
1447,63,14,1
1448,69,14,1
1449,67,14,1
1450,64,14,1
1451,59,14,1
1452,60,14,1
1453,64,14,1
1454,71,15,1
1455,67,16,1
1456,58,17,1
1457,58,17,1
1458,63,17,1
1459,52,18,1
1460,57,17,1
1461,66,16,1
1462,54,16,1
1463,56,16,1
1464,62,16,1
1465,68,15,1
1466,75,14,1
1467,66,14,1
1468,79,14,1
1469,66,15,1
1470,49,15,1
1471,53,15,1
1472,49,16,1
