"Station2","Date2","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","CodeSum2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2"
"2",2007-05-27,75,59,32,49,26,1,3,"RA BR",0.08,"29.41","30.05",8.2,24,"9.2"
"2",2007-05-28,76,54,30,49,26,1,1," ",0,"29.49","30.14",4.7,8,"5.2"
"2",2007-05-29,88,65,42,59,35,1,13,"BR HZ",0,"29.44","30.09",5.8,16,"7.4"
"2",2007-05-30,89,70,45,57,35,1,16,"HZ",0,"29.38","30.03",9.7,17,"10.1"
"2",2007-05-31,80,68,39,61,35,1,10,"RA BR",0.53,"29.34","29.99",8.9,18,"9.2"
"2",2007-06-01,86,67,42,63,36,1,13,"TSRA BR HZ",0.21,"29.25","29.90",4.7,16,"5.8"
"2",2007-06-02,81,68,40,62,36,1,11,"RA BR",0,"29.10","29.76",7.5,21,"8.2"
"2",2007-06-03,77,64,36,60,33,1,7,"RA BR HZ VCTS",0.32,"28.87","29.54",4.9,24,"7.2"
"2",2007-06-04,72,56,29,57,29,2,1,"RA BR",0.31,"28.88","29.51",7.9,30,"10.1"
"2",2007-06-05,63,51,22,47,21,29,1,"RA BR",0.27,"29.16","29.78",6.2,3,"8.1"
"2",2007-06-06,73,48,26,47,24,25,1,"RA",0,"29.13","29.82",9.6,15,"10.6"
"2",2007-06-07,92,71,47,61,37,1,18," ",0,"28.91","29.55",20.3,19,"20.7"
"2",2007-06-08,81,63,37,54,31,1,8," ",0,"29.24","29.83",9.3,26,"12.4"
"2",2007-06-09,79,57,33,49,27,1,4," ",0,"29.42","30.05",2.4,19,"4.7"
"2",2007-06-10,81,61,36,50,29,1,7," ",0,"29.39","30.04",4.6,16,"5.8"
"2",2007-06-11,85,65,40,51,30,1,11," ",0,"29.47","30.09",6.6,9,"8.4"
"2",2007-06-12,82,66,39,51,30,1,10," ",0,"29.49","30.14",9.4,5,"10.0"
"2",2007-06-13,86,68,42,53,31,1,13," ",0,NA,NA,7,5,NA
"2",2007-06-14,89,68,44,54,32,1,15," ",0,"29.36","30.00",5.9,7,"6.4"
"2",2007-06-15,89,67,43,56,34,1,14," ",0,"29.34","29.97",3.8,9,"4.1"
"2",2007-06-16,92,68,45,61,37,1,16,"HZ",0,"29.33","29.96",2.1,22,"6.1"
"2",2007-06-17,91,71,46,65,39,1,17,"HZ",0.16,"29.28","29.93",4,11,"6.1"
"2",2007-06-18,89,73,46,65,39,1,17,"TSRA RA HZ",0.02,"29.19","29.83",12.2,20,"12.6"
"2",2007-06-19,81,65,38,55,32,1,9,"RA BR",0.93,"29.31","29.93",10.1,29,"11.3"
"2",2007-06-20,85,62,39,50,30,1,10," ",0,"29.46","30.09",5.9,28,"7.7"
"2",2007-06-21,80,66,38,51,30,1,9,"RA",0,"29.41","30.06",3.7,2,"9.6"
"2",2007-06-22,75,62,34,49,27,1,5,"RA",0,"29.39","30.05",6.5,7,"8.1"
"2",2007-06-23,68,61,30,60,31,1,1,"RA BR",0.34,"29.28","29.95",7.3,11,"8.1"
"2",2007-06-24,75,65,35,62,34,1,6,"BR HZ",0,"29.33","29.96",5.6,10,"6.0"
"2",2007-06-25,86,67,42,67,39,1,13,"BR HZ",0,"29.44","30.06",4,12,"5.9"
"2",2007-06-26,91,73,47,69,41,1,18,"BR HZ",0,"29.45","30.09",7.3,21,"8.1"
"2",2007-06-27,89,71,45,69,41,1,16,"TSRA RA BR",0.35,"29.36","30.00",7.9,24,"8.5"
"2",2007-06-28,73,61,32,56,30,1,3," ",NA,"29.43","30.07",12.2,2,"13.3"
"2",2007-06-29,71,56,29,56,29,2,1," ",NA,"29.47","30.11",7.4,2,"8.2"
"2",2007-06-30,77,58,33,49,27,1,4," ",0,"29.46","30.11",5.1,4,"6.2"
"2",2007-07-01,76,61,34,51,28,1,5," ",0,"29.56","30.21",9.5,4,"9.7"
"2",2007-07-02,77,58,33,50,28,1,4," ",0,"29.55","30.21",7.4,12,"8.5"
"2",2007-07-03,83,63,38,56,32,1,9,"TSRA RA",0.09,"29.38","30.05",6.4,21,"7.4"
"2",2007-07-04,84,67,41,65,38,1,12,"TSRA RA HZ FU",0.66,"29.23","29.88",3.1,25,"8.8"
"2",2007-07-05,88,70,44,60,36,1,15,"BR",0,"29.29","29.92",4.3,33,"6.9"
"2",2007-07-06,84,68,41,57,34,1,12," ",0,"29.38","30.01",3.3,7,"5.5"
"2",2007-07-07,88,68,43,62,37,1,14," ",0,"29.24","29.90",7.4,23,"8.1"
"2",2007-07-08,93,75,49,67,41,1,20," ",0,"29.12","29.76",12.6,23,"12.7"
"2",2007-07-09,93,72,48,67,40,1,19,"RA",0.24,"29.16","29.79",4.8,23,"8.8"
"2",2007-07-10,89,70,45,67,40,1,16,"TSRA HZ",0.08,"29.13","29.76",8.2,23,"10.2"
"2",2007-07-11,77,63,35,51,28,1,6," ",0,"29.28","29.92",9.1,30,"11.2"
"2",2007-07-12,80,60,35,51,29,1,6,"VCTS",0,"29.28","29.92",10,28,"11.4"
"2",2007-07-13,74,59,32,53,28,1,3," ",0,"29.33","29.98",2,7,"5.8"
"2",2007-07-14,85,62,39,55,31,1,10," ",0,"29.14","29.79",8.4,25,"13.9"
"2",2007-07-15,80,64,37,52,30,1,8," ",0,"29.25","29.88",1.2,9,"6.5"
"2",2007-07-16,82,66,39,60,34,1,10,"TSRA RA",0.07,"29.31","29.94",5.6,23,"6.6"
"2",2007-07-17,83,69,41,65,38,1,12,"RA BR",0.11,"29.24","29.89",6.3,23,"7.4"
"2",2007-07-18,85,69,42,69,40,1,13,"TS TSRA RA BR HZ VCTS",0.92,"29.18","29.83",10.3,24,"10.6"
"2",2007-07-19,82,63,38,62,35,1,9,"BR HZ",0.01,"29.26","29.88",7.7,36,"14.4"
"2",2007-07-20,74,62,33,52,28,1,4," ",0,"29.49","30.12",11.3,4,"11.5"
"2",2007-07-21,75,58,32,52,28,1,3," ",0,"29.57","30.21",5.8,4,"7.4"
"2",2007-07-22,81,61,36,54,30,1,7," ",0,"29.54","30.20",1.9,18,"3.5"
"2",2007-07-23,82,63,38,55,32,1,9," ",0,"29.42","30.09",2.9,12,"3.9"
"2",2007-07-24,82,65,39,57,33,1,10," ",0,"29.38","30.03",1.1,21,"4.9"
"2",2007-07-25,83,70,42,60,35,1,13," ",0,"29.35","29.99",6.4,23,"7.0"
"2",2007-07-26,84,64,39,65,37,1,10,"TS TSRA BR HZ",0.89,"29.25","29.91",7.2,22,"9.9"
"2",2007-07-27,83,70,42,67,39,1,13,"RA BR HZ",0.04,"29.16","29.80",1.2,36,"8.1"
"2",2007-07-28,80,70,40,65,37,1,11,"BR HZ",0,"29.28","29.91",10.6,3,"10.7"
"2",2007-07-29,85,67,41,56,33,1,12," ",0,"29.34","29.97",6.3,5,"6.9"
"2",2007-07-30,86,65,41,57,34,1,12," ",0,"29.39","30.01",3.1,6,"4.6"
"2",2007-07-31,89,69,44,60,37,1,15," ",0,"29.39","30.02",4,7,"5.0"
"2",2007-08-01,91,69,45,63,39,1,16," ",0,"29.34","29.98",2.1,13,"3.7"
"2",2007-08-02,91,73,47,66,41,1,18," ",0,"29.31","29.95",6.5,23,"7.2"
"2",2007-08-03,88,73,46,58,36,1,17," ",0,"29.36","30.00",3.3,6,"5.8"
"2",2007-08-04,81,68,40,58,34,1,11,"RA",0.02,"29.36","30.01",5.9,9,"6.6"
"2",2007-08-05,88,68,43,71,41,1,14,"TSRA RA BR VCTS",0.97,"29.15","29.79",7,22,"10.2"
"2",2007-08-06,85,75,45,72,43,1,16,"TS TSRA BR HZ",0.05,"29.17","29.81",2.6,10,"4.6"
"2",2007-08-07,92,73,48,73,45,1,19,"VCTS",0.06,"29.11","29.74",6.3,24,"8.8"
"2",2007-08-08,87,74,46,72,43,1,17,"TSRA RA DZ BR HZ",0.09,"29.18","29.81",1.5,4,"6.4"
"2",2007-08-09,85,73,44,71,42,1,15,"TSRA BR HZ",0.46,"29.19","29.82",3.1,27,"6.3"
"2",2007-08-10,86,73,45,69,41,1,16," ",0,"29.32","29.94",3,6,"5.4"
"2",2007-08-11,88,68,43,65,39,1,14,"BR HZ",0,"29.38","30.00",3.1,20,"3.9"
"2",2007-08-12,87,68,43,67,39,1,14,"TSRA",0.23,"29.40","30.04",1.9,6,"6.6"
"2",2007-08-13,80,69,40,54,32,1,11," ",0,"29.44","30.08",6.9,8,"7.7"
"2",2007-08-14,84,65,40,66,38,1,11,"TSRA RA BR",0.45,"29.29","29.92",6.4,23,"9.0"
"2",2007-08-15,81,72,42,69,40,1,13,"TS TSRA RA BR",0.83,"29.23","29.87",4.9,6,"7.1"
"2",2007-08-16,77,67,37,65,37,1,8,"BR",0,"29.33","29.95",3.5,1,"5.7"
"2",2007-08-17,80,65,38,54,31,1,9," ",0,"29.46","30.08",6.1,31,"7.4"
"2",2007-08-18,69,60,30,54,27,1,1,"RA",0.42,"29.48","30.15",6.1,13,"7.0"
"2",2007-08-19,69,62,31,63,33,1,2,"TS RA BR",1.33,"29.30","29.98",5.5,10,"7.5"
"2",2007-08-20,76,68,37,69,39,1,8,"TS TSRA RA BR HZ",0.48,"29.21","29.85",2.4,20,"5.9"
"2",2007-08-21,85,69,42,70,41,1,13,"BR",0.01,"29.26","29.89",3.5,17,"6.0"
"2",2007-08-22,90,70,45,70,42,1,16,"TSRA RA BR",0.88,"29.29","29.93",5.1,21,"8.4"
"2",2007-08-23,89,70,45,69,40,1,16,"TS TSRA BR",1.96,"29.21","29.86",6.7,21,"9.1"
"2",2007-08-24,81,69,40,67,38,1,11,"TS TSRA RA BR",0.2,"29.16","29.81",5.5,25,"7.3"
"2",2007-08-25,76,65,36,63,35,1,7,"RA BR",0.25,"29.29","29.91",2.4,3,"6.4"
"2",2007-08-26,78,61,35,55,31,1,6," ",0,"29.44","30.07",3.7,11,"4.6"
"2",2007-08-27,79,63,36,59,33,1,7," ",0,"29.41","30.06",6.4,16,"7.3"
"2",2007-08-28,90,69,45,65,39,1,16," ",0,"29.34","29.98",7.8,21,"8.3"
"2",2007-08-29,86,69,43,64,38,1,14," ",0,"29.39","30.02",5.3,3,"8.8"
"2",2007-08-30,75,60,33,54,30,1,4," ",0,"29.51","30.15",10.8,3,"10.9"
"2",2007-08-31,76,57,32,54,29,1,3," ",0,"29.52","30.17",3,6,"4.6"
"2",2007-09-01,79,60,35,56,31,1,6," ",0,"29.54","30.20",4.4,11,"4.4"
"2",2007-09-02,84,62,38,56,32,1,9," ",0,"29.47","30.13",4.8,21,"6.0"
"2",2007-09-03,88,64,41,61,36,1,12," ",0,"29.42","30.07",3,25,"6.2"
"2",2007-09-04,90,67,44,59,36,1,15," ",0,"29.34","29.99",2.2,24,"5.0"
"2",2007-09-05,91,72,47,62,38,1,18," ",0,"29.31","29.94",6.4,19,"6.7"
"2",2007-09-06,84,74,44,66,39,1,15,"TSRA HZ",0.08,"29.27","29.91",12.8,20,"13.0"
"2",2007-09-07,84,71,43,67,39,1,14,"TSRA RA BR HZ",0.67,"29.21","29.84",9.5,23,"13.0"
"2",2007-09-08,78,68,38,58,33,1,9," ",0,"29.34","29.98",8.4,5,"9.4"
"2",2007-09-09,79,63,36,59,33,1,7," ",0,"29.41","30.03",10.1,3,"10.9"
"2",2007-09-10,73,55,29,59,31,2,1,"RA",0.25,"29.34","30.01",7.4,3,"9.7"
"2",2007-09-11,71,51,26,44,21,25,1," ",0,"29.26","29.91",12.1,29,"13.7"
"2",2007-09-12,66,46,21,43,19,30,1," ",0,"29.46","30.11",1.9,5,"6.0"
"2",2007-09-13,79,53,31,43,23,1,2," ",0,"29.30","29.98",7.1,20,"7.7"
"2",2007-09-14,67,47,22,40,18,29,1," ",0,"29.41","30.04",11.7,32,"13.0"
"2",2007-09-15,62,42,17,35,14,6,1," ",0,"29.62","30.28",1.1,35,"6.6"
"2",2007-09-16,72,49,26,38,19,25,1," ",0,"29.52","30.20",7.7,18,"8.2"
"2",2007-09-17,80,55,33,48,26,1,4," ",0,"29.46","30.12",10.6,17,"11.0"
"2",2007-09-18,89,66,43,57,34,1,14," ",0,"29.41","30.05",12.5,19,"12.8"
"2",2007-09-19,84,68,41,59,34,1,12," ",0,"29.47","30.09",3.5,25,"9.0"
"2",2007-09-20,76,63,35,59,33,1,6," ",0,"29.44","30.10",5.6,8,"6.1"
"2",2007-09-21,90,68,44,59,35,1,15,"HZ",0,"29.23","29.89",9.8,22,"11.5"
"2",2007-09-22,72,58,30,45,24,1,1," ",0,"29.48","30.10",4.3,1,"7.7"
"2",2007-09-23,83,55,34,50,28,1,5," ",0,"29.49","30.15",5.9,12,"6.4"
"2",2007-09-24,91,71,46,62,38,1,17," ",0,"29.34","29.98",10,19,"10.5"
"2",2007-09-25,83,67,40,66,38,1,11,"TSRA",0.01,"29.29","29.93",7.3,23,"9.4"
"2",2007-09-26,68,55,27,51,25,24,1,"RA BR",0.14,"29.37","30.02",4.8,2,"7.3"
"2",2007-09-27,74,52,28,49,24,13,1,"RA BCFG BR",0,"29.31","29.97",4.5,25,"5.8"
"2",2007-09-28,73,53,28,46,23,13,1," ",0,"29.52","30.16",3.1,7,"6.6"
"2",2007-09-29,82,52,32,45,24,1,3," ",0,"29.57","30.23",8.4,17,"8.8"
"2",2007-09-30,84,61,38,48,28,1,9,"TSRA BR",0.14,"29.44","30.10",12.9,19,"13.2"
"2",2007-10-01,68,59,29,59,30,2,1,"RA BR",0.17,"29.35","30.00",7.9,21,"8.9"
"2",2007-10-02,80,59,35,59,32,1,6,"RA BR",0.11,"29.25","29.92",10,19,"10.3"
"2",2007-10-03,74,56,30,47,25,1,1," ",0,"29.34","29.97",4.8,25,"7.1"
"2",2007-10-04,83,56,35,56,31,1,6," ",0,"29.39","30.03",4.6,17,"5.9"
"2",2007-10-05,85,68,42,65,38,1,13,"RA BR",0.06,"29.42","30.06",6.8,18,"7.0"
"2",2007-10-06,88,71,45,66,40,1,16," ",0,"29.39","30.03",6.4,21,"6.7"
"2",2007-10-07,88,70,44,65,39,1,15," ",0,"29.38","30.01",5.3,19,"5.9"
"2",2007-10-08,88,62,40,60,35,1,11," ",0,"29.28","29.92",7.3,24,"9.9"
"2",2007-10-09,77,50,29,44,22,2,1," ",0,"29.27","29.93",12.1,28,"13.3"
"2",2007-10-10,53,47,15,37,13,8,1," ",0,"29.26","29.93",14.4,31,"14.6"
"2",2007-10-11,56,48,17,39,14,6,1," ",0,"29.34","30.00",14.6,36,"15.5"
"2",2007-10-12,57,45,16,35,12,7,1," ",0,"29.34","30.02",2.8,36,"5.4"
"2",2007-10-13,59,44,17,40,16,6,1," ",0,"29.38","30.04",3.6,21,"4.7"
"2",2007-10-14,63,55,24,47,21,27,1,"RA",0.01,"29.40","30.06",5.7,12,"6.0"
"2",2007-10-15,77,55,31,50,26,1,2,"RA",0.04,"29.26","29.94",6.6,16,"6.9"
"2",2007-10-16,68,56,27,55,27,24,1,"RA BR",0.19,"29.23","29.88",6.5,21,"7.3"
"2",2007-10-17,74,50,27,53,26,24,1,"RA HZ",0.11,"29.13","29.83",8.6,14,"9.1"
"2",2007-10-18,79,60,35,57,31,1,6,"TSRA RA BR",0.34,"28.67","29.34",15.5,19,"17.2"
"2",2007-10-19,61,53,22,48,21,29,1,"RA DZ",0,"28.82","29.45",17.7,24,"18.0"
"2",2007-10-20,74,47,26,43,21,25,1," ",0,"29.10","29.72",11.1,21,"11.7"
"2",2007-10-21,79,61,35,46,25,1,6," ",0,"29.15","29.78",16.7,20,"16.8"
"2",2007-10-22,66,47,22,47,20,29,1,"RA DZ BR",0.15,"29.32","29.96",5.8,1,"10.3"
"2",2007-10-23,53,46,15,39,14,8,1,"RA",0.03,"29.26","29.93",4,31,"7.9"
"2",2007-10-24,53,45,14,35,12,9,1," ",0,"29.51","30.16",16,2,"17.3"
"2",2007-10-25,57,45,16,40,15,7,1,"RA",0,"29.52","30.20",14.5,6,"14.7"
"2",2007-10-26,66,53,25,49,21,26,1,"RA BR",0.41,"29.38","30.06",4.2,6,"7.2"
"2",2007-10-27,57,39,13,41,15,10,1,"RA BR HZ",0.08,"29.62","30.25",7.9,31,"9.1"
"2",2007-10-28,56,34,10,30,8,14,1," ",0,"29.86","30.53",3.5,23,"4.1"
"2",2007-10-29,60,39,15,32,11,8,1," ",0,"29.70","30.41",9.1,22,"9.3"
"2",2007-10-30,66,42,19,37,15,4,1," ",0,"29.51","30.22",10.8,20,"10.9"
"2",2007-10-31,63,43,18,38,15,5,1," ",0,"29.36","30.03",12.2,25,"15.0"
"2",2008-05-01,73,48,26,51,26,25,1," ",0,"29.01","29.67",9.8,17,"10.4"
"2",2008-05-02,74,55,30,56,29,1,1,"TSRA RA BR",0.74,"28.85","29.52",11.9,19,"13.0"
"2",2008-05-03,56,44,15,42,15,8,1,"RA BR",0.01,"29.08","29.69",11.2,25,"12.7"
"2",2008-05-04,66,39,18,33,14,5,1," ",0,"29.38","30.02",5.1,23,"5.6"
"2",2008-05-05,74,50,27,38,19,24,1," ",0,"29.34","29.99",3.7,23,"6.2"
"2",2008-05-06,82,52,32,43,24,1,3," ",0,"29.23","29.88",6.9,22,"8.8"
"2",2008-05-07,71,50,26,53,25,25,1,"RA BR",0.71,"29.03","29.69",1.9,22,"11.1"
"2",2008-05-08,59,47,18,36,14,5,1," ",0,"29.14","29.81",14.3,5,"15.0"
"2",2008-05-09,58,42,15,35,13,8,1," ",0,"29.20","29.85",6.5,3,"7.0"
"2",2008-05-10,61,41,16,39,15,7,1," ",0,"29.15","29.84",6,8,"6.6"
"2",2008-05-11,60,47,19,44,17,4,1,"RA BR",1.46,"28.89","29.53",14.3,2,"17.8"
"2",2008-05-12,53,41,12,39,12,11,1," ",0,"29.32","29.96",4.9,6,"7.6"
"2",2008-05-13,73,45,24,45,21,27,1,"TSRA RA",0.32,"29.28","29.95",13.7,18,"14.4"
"2",2008-05-14,61,46,19,49,21,4,1,"RA BR",0.02,"29.25","29.89",2.5,21,"8.9"
"2",2008-05-15,57,43,15,37,14,8,1," ",0,"29.38","30.05",7.5,5,"8.1"
"2",2008-05-16,72,41,22,41,19,29,1," ",0,"29.16","29.86",8.3,25,"8.8"
"2",2008-05-17,73,50,27,41,21,24,1,"TSRA RA BR",0.26,"28.94","29.61",11.2,29,"14.1"
"2",2008-05-18,55,45,15,40,15,8,1," ",0,"28.98","29.63",1.6,35,"7.9"
"2",2008-05-19,59,42,16,34,13,7,1,"RA",0,"29.02","29.69",4.4,7,"6.2"
"2",2008-05-20,64,49,22,37,16,29,1," ",0,"29.00","29.66",6.9,30,"7.7"
"2",2008-05-21,65,45,20,36,15,3,1," ",0,"29.05","29.70",6.8,33,"8.8"
"2",2008-05-22,56,47,17,38,14,6,1," ",0,"29.29","29.93",10.5,5,"11.2"
"2",2008-05-23,59,48,19,40,15,4,1," ",0,"29.47","30.11",10.4,3,"10.7"
"2",2008-05-24,68,44,21,38,17,30,1," ",0,"29.51","30.17",6.9,7,"7.4"
"2",2008-05-25,78,51,30,48,26,1,1," ",0,"29.26","29.93",11.1,17,"12.4"
"2",2008-05-26,84,53,34,60,34,1,5,"TS TSRA RA HZ",0,"29.17","29.80",7.3,24,"12.0"
"2",2008-05-27,53,45,14,36,12,9,1,"RA",0,"29.54","30.18",18,2,"17.4"
"2",2008-05-28,61,45,18,35,13,5,1," ",0,"29.66","30.33",7.8,7,"8.5"
"2",2008-05-29,68,45,22,38,17,29,1,"RA",0.08,"29.46","30.17",2.2,10,"3.8"
"2",2008-05-30,77,58,33,60,32,1,4,"TS RA BR",0.3,"29.09","29.79",9.4,20,"10.7"
"2",2008-05-31,79,60,35,56,31,1,6," ",0,"29.15","29.79",11.1,28,"12.3"
"2",2008-06-01,71,56,29,46,24,2,1," ",0,"29.29","29.94",5.6,8,"5.9"
"2",2008-06-02,85,61,38,53,30,1,9," ",0,"29.21","29.87",1.7,13,"5.7"
"2",2008-06-03,74,57,31,58,29,1,2,"RA BR HZ",0.92,"29.02","29.67",5.2,3,"6.7"
"2",2008-06-04,78,59,34,61,33,1,5,"TS TSRA BR HZ",0.02,"28.95","29.60",3.1,5,"4.3"
"2",2008-06-05,88,68,43,69,41,1,14,"TSRA",0.22,"29.06","29.69",13.2,20,"13.8"
"2",2008-06-06,86,73,45,69,41,1,16,"RA",0.03,"29.14","29.75",19.2,20,"19.5"
"2",2008-06-07,84,72,43,71,42,1,14,"TS BR",0.07,"29.23","29.85",11.8,19,"12.4"
"2",2008-06-08,87,65,41,69,40,1,12,"RA BR SQ",1.31,"29.18","29.80",4.2,19,"11.5"
"2",2008-06-09,74,65,35,64,35,1,6,"RA DZ",0.21,"29.17","29.80",6.5,23,"8.8"
"2",2008-06-10,80,60,35,56,32,1,6,"RA",0.01,"29.25","29.88",9.3,25,"10.4"
"2",2008-06-11,86,66,41,55,33,1,12," ",0,"29.34","29.97",9.4,18,"10.4"
"2",2008-06-12,91,73,47,63,39,1,18," ",0,"29.26","29.89",14.8,18,"15.1"
"2",2008-06-13,82,66,39,63,35,1,10,"TS TSRA RA",0.19,"29.28","29.91",9.6,23,"10.8"
"2",2008-06-14,84,61,38,52,31,1,9," ",0,"29.29","29.92",8.7,24,"9.3"
"2",2008-06-15,82,60,36,60,33,1,7,"TSRA RA BR",0.29,"29.23","29.83",8.4,24,"9.7"
"2",2008-06-16,74,60,32,49,26,1,3," ",0,"29.25","29.89",10.8,31,"11.5"
"2",2008-06-17,76,56,31,46,24,1,2," ",0,"29.32","29.96",10.2,30,"10.8"
"2",2008-06-18,75,58,32,49,25,1,3," ",0,"29.26","29.91",5,5,"7.5"
"2",2008-06-19,80,55,33,47,26,1,4," ",0,"29.27","29.92",1.5,14,"5.4"
"2",2008-06-20,83,60,37,52,28,1,8,"RA",0.04,"29.30","29.95",6.5,23,"7.2"
"2",2008-06-21,83,62,38,53,30,1,9,"RA",0.01,"29.29","29.93",5.6,29,"6.9"
"2",2008-06-22,81,61,36,53,29,1,7,"RA",0.02,"29.23","29.87",1.5,34,"4.4"
"2",2008-06-23,76,57,32,54,28,1,3," ",0,"29.38","30.03",3.8,3,"6.4"
"2",2008-06-24,82,57,35,52,29,1,6," ",0,"29.49","30.13",4.3,18,"5.4"
"2",2008-06-25,79,67,38,65,37,1,9,"RA BR",0.11,"29.34","29.98",7.5,21,"8.5"
"2",2008-06-26,87,71,44,67,40,1,15,"BR",0,"29.21","29.84",6.8,25,"7.8"
"2",2008-06-27,85,69,42,67,39,1,13,"RA",0,"29.11","29.74",8.3,21,"9.1"
"2",2008-06-28,84,66,40,55,32,1,11,"RA",0,"29.05","29.68",13.3,26,"14.5"
"2",2008-06-29,77,61,34,58,30,1,5,"RA BR",0.22,"29.13","29.75",7.9,30,"10.1"
"2",2008-06-30,81,59,35,49,27,1,6," ",0,"29.34","29.96",5.5,35,"9.1"
"2",2008-07-01,84,57,36,50,29,1,7," ",0,"29.30","29.95",8.2,23,"8.3"
"2",2008-07-02,89,63,41,62,36,1,12,"RA",0.12,"29.14","29.78",7.4,24,"11.7"
"2",2008-07-03,71,59,30,51,26,1,1," ",0,"29.39","30.01",13.3,3,"13.5"
"2",2008-07-04,75,58,32,50,27,1,3," ",0,"29.40","30.05",6.5,6,"7.5"
"2",2008-07-05,79,57,33,52,29,1,4," ",0,"29.36","30.01",4.7,10,"5.7"
"2",2008-07-06,88,63,41,58,34,1,12," ",0,"29.28","29.92",8.3,19,"8.9"
"2",2008-07-07,87,74,46,68,40,1,17," ",0.11,"29.21","29.86",10.8,21,"11.4"
"2",2008-07-08,86,46,NA,68,40,NA,NA,"TS RA",0.28,"29.16","29.80",7.4,24,"8.3"
"2",2008-07-09,85,67,41,55,33,1,12," ",0,"29.31","29.94",8.1,32,"9.1"
"2",2008-07-10,84,64,39,62,36,1,10,"TSRA RA",0.43,"29.33","29.97",8.1,23,"8.6"
"2",2008-07-11,89,64,42,65,38,1,13,"TS TSRA RA",0.03,"29.30","29.95",3.7,19,"7.5"
"2",2008-07-12,83,66,40,64,36,1,11,"TSRA RA BR",0.65,"29.25","29.87",8.4,26,"11.0"
"2",2008-07-13,79,61,35,53,30,1,6," ",0,"29.18","29.83",13.6,27,"13.8"
"2",2008-07-14,84,62,38,54,31,1,9," ",0,"29.28","29.90",1.9,29,"7.1"
"2",2008-07-15,91,67,44,63,38,1,15," ",0,"29.36","29.98",7.8,22,"8.3"
"2",2008-07-16,91,73,47,67,40,1,18," ",0,"29.44","30.07",5.2,21,"7.4"
"2",2008-07-17,90,74,47,66,40,1,18," ",0,"29.39","30.03",8.9,22,"9.3"
"2",2008-07-18,91,73,47,67,40,1,18,"RA",0,"29.30","29.94",6.8,23,"8.2"
"2",2008-07-19,80,70,40,70,40,1,11,"RA BR",1.22,"29.24","29.89",1.1,23,"5.9"
