Date,ID,Station2,Tmax2,Tmin2,Tavg2,DewPoint2,WetBulb2,Heat2,Cool2,PrecipTotal2,StnPressure2,SeaLevel2,ResultSpeed2,ResultDir2,AvgSpeed2,BCFG2,BR2,DZ2,FG2,FG.2,FU2,GR2,HZ2,RA2,SN2,SQ2,TS2,TSRA2,VCFG2,VCTS2,Tmax2.imp,Tavg2.imp,PrecipTotal2.imp,RA45.2,PT45_gt052,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,BCFG,BR,DZ,FG,FG.,FU,HZ,MIFG,RA,SN,SQ,TS,TSRA,VCTS,RA45,PT45_gt05,year,Month,MoDay,Month_Day
12/05/2007,12,2,65,47,21,37,15,30,1,0,29.54,30.19,12.7,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,21,0,NA,NA,1,64,46,20,10,36,15,3,1,435,1901,0,0,29.49,30.2,12.4,3,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,12,12/5
13/05/2007,13,2,69,44,22,32,15,29,1,0,29.55,30.24,6.4,11,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,22,0,NA,NA,1,69,43,21,10,33,15,30,1,434,1902,0,0,29.49,30.24,6.6,14,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,13,5/1
14/05/2007,14,2,90,54,37,45,27,1,8,0,29.31,29.98,14.1,21,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,37,0,NA,NA,1,90,56,38,33,47,28,1,9,433,1903,0,0,29.23,29.97,16.9,21,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,14,5/1
15/05/2007,15,2,82,56,34,56,30,1,5,0.6,29.19,29.83,8.1,25,10.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,82,34,0.6,NA,NA,1,80,57,34,29,56,30,1,5,432,1904,0,0.38,29.13,29.84,8.1,27,12.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,5,15,5/1
16/05/2007,16,2,64,45,20,42,16,3,1,0.07,29.39,30.03,8,36,11.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,64,20,0.07,NA,NA,1,66,44,20,12,43,17,3,1,431,1905,0,0.14,29.33,30.03,7.8,36,12.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,5,16,5/1
17/05/2007,17,2,61,44,18,32,12,5,1,0,29.62,30.27,11.7,1,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,18,0,NA,NA,1,62,43,18,14,32,12,5,1,430,1906,0,0,29.55,30.27,10.5,3,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,17,5/1
18/05/2007,18,2,70,43,22,31,16,29,1,0,29.6,30.26,3.4,22,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,0,NA,NA,1,71,42,22,11,30,15,29,1,429,1907,0,0,29.53,30.25,5.4,25,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,18,5/1
19/05/2007,19,2,80,56,33,37,22,1,4,0,29.41,30.08,11.1,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,33,0,NA,NA,1,80,56,33,26,39,22,1,4,428,1908,0,0,29.34,30.08,11.1,24,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,19,5/1
20/05/2007,20,2,69,44,22,41,14,29,1,0.11,29.44,30.11,8.6,3,9.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,69,22,0.11,NA,NA,1,69,43,21,13,40,13,30,1,427,1909,0,0.07,29.38,30.11,10.4,4,10.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,2007,5,20,5/1
21/05/2007,21,2,79,46,28,50,26,13,1,0,29.39,30.05,6.3,10,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,28,0,NA,NA,1,80,44,27,19,50,25,24,1,426,1910,0,0,29.33,30.06,6.3,11,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,21,5/1
22/05/2007,22,2,87,60,39,44,27,1,10,0,29.41,30.05,10.1,16,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,39,0,NA,NA,1,87,55,36,28,46,27,1,7,425,1911,0,0,29.34,30.06,10,18,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,22,5/1
23/05/2007,23,2,89,66,43,48,30,1,14,0,29.47,30.1,10.9,18,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,0,NA,NA,1,89,60,40,32,49,30,1,11,425,1912,0,0,29.39,30.1,11.4,19,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,23,5/1
24/05/2007,24,2,88,66,42,53,32,1,13,0,29.47,30.1,13.8,20,15.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,88,42,0,NA,NA,1,88,63,41,32,54,32,1,12,424,1913,0,0.02,29.41,30.11,14.9,21,17.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,2007,5,24,5/1
25/05/2007,25,2,66,57,27,46,22,24,1,0.09,29.57,30.23,4.5,5,8.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,66,27,0.09,NA,NA,1,70,56,28,19,44,22,13,1,423,1914,0,0,29.51,30.24,4.9,5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,5,25,5/1
26/05/2007,26,2,70,50,25,55,26,26,1,0.28,29.42,30.1,2.5,15,7.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,70,25,0.28,NA,NA,1,65,49,22,13,55,25,29,1,422,1915,0,1.01,29.36,30.11,2.8,17,7.2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,2007,5,26,5/1
27/05/2007,27,2,75,59,32,49,26,1,3,0.08,29.41,30.05,8.2,24,9.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75,32,0.08,NA,NA,1,75,57,31,22,47,25,1,2,422,1916,0,0.04,29.34,30.06,8.9,26,9.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,5,27,5/1
28/05/2007,28,2,76,54,30,49,26,1,1,0,29.49,30.14,4.7,8,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,30,0,NA,NA,1,79,50,30,20,47,25,1,1,421,1916,0,0,29.43,30.15,4.8,10,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,5,28,5/1
29/05/2007,29,2,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0,NA,NA,1,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,2007,5,29,5/1
30/05/2007,30,2,89,70,45,57,35,1,16,0,29.38,30.03,9.7,17,10.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,45,0,NA,NA,1,87,66,42,31,58,34,1,13,420,1918,0,0,29.31,30.04,10.3,19,10.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,2007,5,30,5/1
31/05/2007,31,2,80,68,39,61,35,1,10,0.53,29.34,29.99,8.9,18,9.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,80,39,0.53,NA,NA,1,78,65,37,26,61,34,1,8,420,1919,0,0.01,29.28,30,9.3,19,9.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,2007,5,31,5/1
01/06/2007,32,2,86,67,42,63,36,1,13,0.21,29.25,29.9,4.7,16,5.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,86,42,0.21,NA,NA,1,85,62,39,28,63,35,1,10,419,1920,0,0.19,29.19,29.91,4.2,17,6.4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,2007,6,1,1/6
02/06/2007,33,2,81,68,40,62,36,1,11,0,29.1,29.76,7.5,21,8.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,81,40,0,NA,NA,1,81,65,38,27,63,36,1,9,419,1920,0,0.04,29.03,29.77,6.5,22,7.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,6,2,2/6
03/06/2007,34,2,77,64,36,60,33,1,7,0.32,28.87,29.54,4.9,24,7.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,77,36,0.32,NA,NA,1,78,62,35,24,60,32,1,6,418,1921,0,0.01,28.82,29.56,5.2,25,6.7,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA,2007,6,3,3/6
04/06/2007,35,2,72,56,29,57,29,2,1,0.31,28.88,29.51,7.9,30,10.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,72,29,0.31,NA,NA,1,71,58,30,19,58,29,1,1,418,1922,0,0.39,28.82,29.52,7.8,31,9.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,2007,6,4,4/6
05/06/2007,36,2,63,51,22,47,21,29,1,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,63,22,0.27,NA,NA,1,64,47,21,17,48,20,30,1,417,1923,0,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,6,5,5/6
06/06/2007,37,2,73,48,26,47,24,25,1,0,29.13,29.82,9.6,15,10.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,26,0,NA,NA,1,71,44,23,16,48,24,28,1,417,1923,0,0.01,29.07,29.81,10.8,17,11.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,2007,6,6,6/6
07/06/2007,38,2,92,71,47,61,37,1,18,0,28.91,29.55,20.3,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,47,0,NA,NA,1,91,71,46,33,62,38,1,17,417,1924,0,0,28.84,29.55,22.7,20,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,6,7,7/6
08/06/2007,39,2,81,63,37,54,31,1,8,0,29.24,29.83,9.3,26,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,37,0,NA,NA,1,81,57,34,21,53,30,1,5,417,1925,0,0,29.18,29.85,10.9,28,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,6,8,8/6
09/06/2007,40,2,79,57,33,49,27,1,4,0,29.42,30.05,2.4,19,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,33,0,NA,NA,1,79,52,31,18,47,26,1,2,416,1925,0,0,29.36,30.07,0.3,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,6,9,9/6
10/06/2007,41,2,81,61,36,50,29,1,7,0,29.39,30.04,4.6,16,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,36,0,NA,NA,1,81,55,33,19,51,28,1,4,416,1926,0,0,29.34,30.05,4.8,17,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,6,10,10/6
11/06/2007,42,2,85,65,40,51,30,1,11,0,29.47,30.09,6.6,9,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,0,NA,NA,1,86,58,37,23,52,30,1,8,416,1926,0,0,29.41,30.11,4.9,11,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,6,11,11/6
12/06/2007,43,2,82,66,39,51,30,1,10,0,29.49,30.14,9.4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,39,0,NA,NA,1,83,62,38,23,50,29,1,9,416,1927,0,0,29.44,30.16,8.3,5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,6,12,12/6
13/06/2007,44,2,86,68,42,53,31,1,13,0,NA,NA,7,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,42,0,NA,NA,1,87,60,39,24,53,31,1,10,416,1927,0,0,29.36,30.09,7.2,5,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,2007,6,13,6/1
14/06/2007,45,2,89,68,44,54,32,1,15,0,29.36,30,5.9,7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,44,0,13,1,1,89,64,42,27,55,33,1,13,416,1928,0,0,29.3,30.02,5.6,5,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2007,6,14,6/1
15/06/2007,46,2,89,67,43,56,34,1,14,0,29.34,29.97,3.8,9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,0,13,1,1,91,63,42,27,56,33,1,13,416,1928,0,0,29.28,29.99,4.1,6,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2007,6,15,6/1
16/06/2007,47,2,92,68,45,61,37,1,16,0,29.33,29.96,2.1,22,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92,45,0,13,1,1,93,66,45,29,60,36,1,16,416,1929,0,0,29.26,29.97,4.8,28,5.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,1,2007,6,16,6/1
17/06/2007,48,2,91,71,46,65,39,1,17,0.16,29.28,29.93,4,11,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91,46,0.16,13,1,1,91,70,46,30,64,39,1,17,416,1929,0,0,29.23,29.95,2.8,11,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1,2007,6,17,6/1
18/06/2007,49,2,89,73,46,65,39,1,17,0.02,29.19,29.83,12.2,20,12.6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,89,46,0.02,14,1,1,89,69,44,27,65,39,1,15,416,1929,0,0.28,29.12,29.84,14,20,15.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1,2007,6,18,6/1
19/06/2007,50,2,81,65,38,55,32,1,9,0.93,29.31,29.93,10.1,29,11.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,81,38,0.93,15,1,1,80,65,38,21,55,32,1,9,416,1930,0,0.58,29.26,29.95,10.7,28,11.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,2007,6,19,6/1
20/06/2007,51,2,85,62,39,50,30,1,10,0,29.46,30.09,5.9,28,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,0,15,1,1,84,61,38,21,52,30,1,9,416,1930,0,0,29.39,30.1,7.8,27,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2007,6,20,6/1
21/06/2007,52,2,80,66,38,51,30,1,9,0,29.41,30.06,3.7,2,9.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,38,0,16,1,1,77,61,34,1,51,29,1,5,416,1930,0,0.01,29.36,30.08,3.5,3,10.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,2007,6,21,6/1
22/06/2007,53,2,75,62,34,49,27,1,5,0,29.39,30.05,6.5,7,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,34,0,17,1,1,76,61,34,1,50,27,1,5,417,1931,0,0,29.33,30.06,7.8,6,8.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1,2007,6,22,6/1
23/06/2007,54,2,68,61,30,60,31,1,1,0.34,29.28,29.95,7.3,11,8.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68,30,0.34,18,1,1,67,62,30,13,58,30,1,1,417,1931,0,0.05,29.23,29.96,7.6,12,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,1,2007,6,23,6/1
24/06/2007,55,2,75,65,35,62,34,1,6,0,29.33,29.96,5.6,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,75,35,0,18,1,1,77,63,35,1,62,34,1,6,417,1931,0,0,29.26,29.97,7,9,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19,1,2007,6,24,6/1
25/06/2007,56,2,86,67,42,67,39,1,13,0,29.44,30.06,4,12,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,86,42,0,18,1,1,89,65,42,24,66,39,1,13,417,1931,0,0,29.38,30.07,3.9,14,6.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19,1,2007,6,25,6/1
26/06/2007,57,2,91,73,47,69,41,1,18,0,29.45,30.09,7.3,21,8.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,91,47,0,18,1,1,92,70,46,28,69,41,1,17,418,1931,0,0.16,29.39,30.11,6.1,22,7.1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,19,1,2007,6,26,6/1
27/06/2007,58,2,89,71,45,69,41,1,16,0.35,29.36,30,7.9,24,8.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,89,45,0.35,19,1,1,91,71,46,28,70,41,1,17,418,1931,0,0.15,29.29,30.02,7.5,24,8.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1,2007,6,27,6/1
28/06/2007,59,2,73,61,32,56,30,1,3,NA,29.43,30.07,12.2,2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,32,0.950469521,19,1,1,74,58,31,13,55,29,1,2,419,1931,0,0,29.41,30.09,11.9,3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,2007,6,28,6/1
29/06/2007,60,2,71,56,29,56,29,2,1,NA,29.47,30.11,7.4,2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,29,0.064049753,18,1,1,70,56,28,16,55,28,13,1,419,1931,0,0,29.41,30.13,7.6,2,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,2007,6,29,6/1
30/06/2007,61,2,77,58,33,49,27,1,4,0,29.46,30.11,5.1,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,33,0,17,1,1,79,54,32,13,46,25,1,3,419,1931,0,0,29.41,30.13,4.9,3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2007,6,30,6/1
01/07/2007,62,2,76,61,34,51,28,1,5,0,29.56,30.21,9.5,4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,34,0,17,1,1,75,54,30,15,52,27,1,1,420,1931,0,0,29.51,30.23,8.6,4,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2007,7,1,1/7
02/07/2007,63,2,77,58,33,50,28,1,4,0,29.55,30.21,7.4,12,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,33,0,17,1,1,79,53,31,14,50,27,1,2,420,1931,0,0,29.49,30.22,5.9,14,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2007,7,2,2/7
03/07/2007,64,2,83,63,38,56,32,1,9,0.09,29.38,30.05,6.4,21,7.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,83,38,0.09,18,1,1,83,60,37,18,57,32,1,8,421,1931,0,0.4,29.31,30.06,6.7,21,7.3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,18,1,2007,7,3,3/7
04/07/2007,65,2,84,67,41,65,38,1,12,0.66,29.23,29.88,3.1,25,8.8,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,84,41,0.66,18,1,1,86,67,42,23,65,38,1,13,422,1930,0,0.16,29.18,29.9,4.6,27,8.2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,17,1,2007,7,4,4/7
05/07/2007,66,2,88,70,44,60,36,1,15,0,29.29,29.92,4.3,33,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,44,0,18,1,1,89,71,45,26,60,36,1,16,422,1930,0,0,29.24,29.94,6.4,31,8.1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,17,1,2007,7,5,5/7
06/07/2007,67,2,84,68,41,57,34,1,12,0,29.38,30.01,3.3,7,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,41,0,18,1,1,86,66,41,22,57,33,1,12,423,1930,0,0,29.32,30.03,3.2,5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2007,7,6,6/7
07/07/2007,68,2,88,68,43,62,37,1,14,0,29.24,29.9,7.4,23,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,43,0,18,1,1,90,64,42,23,63,38,1,13,423,1930,0,0,29.18,29.91,8.4,22,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,2007,7,7,7/7
08/07/2007,69,2,93,75,49,67,41,1,20,0,29.12,29.76,12.6,23,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,49,0,17,1,1,94,75,50,30,67,41,1,21,424,1929,0,0,29.05,29.77,12.9,24,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2007,7,8,8/7
09/07/2007,70,2,93,72,48,67,40,1,19,0.24,29.16,29.79,4.8,23,8.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,48,0.24,17,1,1,94,70,47,27,66,39,1,18,425,1929,0,0.3,29.11,29.8,4.9,24,8.8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17,1,2007,7,9,9/7
10/07/2007,71,2,89,70,45,67,40,1,16,0.08,29.13,29.76,8.2,23,10.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,89,45,0.08,16,1,1,89,69,44,24,67,39,1,15,425,1929,0,0.43,29.06,29.77,8.6,23,10.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,1,2007,7,10,10/7
11/07/2007,72,2,77,63,35,51,28,1,6,0,29.28,29.92,9.1,30,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,35,0,15,1,1,77,62,35,11,51,28,1,6,426,1928,0,0,29.23,29.93,8.8,30,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,2007,7,11,11/7
12/07/2007,73,2,80,60,35,51,29,1,6,0,29.28,29.92,10,28,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,35,0,15,1,1,80,61,36,10,51,28,1,7,427,1928,0,0,29.22,29.93,9.4,29,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2007,7,12,12/7
13/07/2007,74,2,74,59,32,53,28,1,3,0,29.33,29.98,2,7,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,32,0,15,1,1,78,58,33,13,52,27,1,4,428,1927,0,0,29.26,29.98,1.4,1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,2007,7,13,7/1
