"Station","Date","Tmax","Tmin","Tavg","Depart","DewPoint","WetBulb","Heat","Cool","Sunrise","Sunset","SnowFall","PrecipTotal","StnPressure","SeaLevel","ResultSpeed","ResultDir","AvgSpeed","BCFG","BR","DZ","FG","FG.","FU","HZ","MIFG","RA","SN","SQ","TS","TSRA","VCTS","RA45","PT45_gt05"
1,2007-05-11,70,51,26,22,42,20,25,1,436,1860,0,0,29.33,30.04,11.3,3,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-12,64,46,20,10,36,15,3,1,435,1901,0,0,29.49,30.2,12.4,3,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-13,69,43,21,10,33,15,30,1,434,1902,0,0,29.49,30.24,6.6,14,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-14,90,56,38,33,47,28,1,9,433,1903,0,0,29.23,29.97,16.9,21,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-15,80,57,34,29,56,30,1,5,432,1904,0,0.38,29.13,29.84,8.1,27,12.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-05-16,66,44,20,12,43,17,3,1,431,1905,0,0.14,29.33,30.03,7.8,36,12.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-05-17,62,43,18,14,32,12,5,1,430,1906,0,0,29.55,30.27,10.5,3,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-18,71,42,22,11,30,15,29,1,429,1907,0,0,29.53,30.25,5.4,25,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-19,80,56,33,26,39,22,1,4,428,1908,0,0,29.34,30.08,11.1,24,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-20,69,43,21,13,40,13,30,1,427,1909,0,0.07,29.38,30.11,10.4,4,10.7,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA
1,2007-05-21,80,44,27,19,50,25,24,1,426,1910,0,0,29.33,30.06,6.3,11,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-22,87,55,36,28,46,27,1,7,425,1911,0,0,29.34,30.06,10,18,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-23,89,60,40,32,49,30,1,11,425,1912,0,0,29.39,30.1,11.4,19,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-24,88,63,41,32,54,32,1,12,424,1913,0,0.02,29.41,30.11,14.9,21,17.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA
1,2007-05-25,70,56,28,19,44,22,13,1,423,1914,0,0,29.51,30.24,4.9,5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-05-26,65,49,22,13,55,25,29,1,422,1915,0,1.01,29.36,30.11,2.8,17,7.2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA
1,2007-05-27,75,57,31,22,47,25,1,2,422,1916,0,0.04,29.34,30.06,8.9,26,9.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-05-28,79,50,30,20,47,25,1,1,421,1916,0,0,29.43,30.15,4.8,10,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-05-29,88,60,39,28,58,34,1,10,421,1917,0,0,29.39,30.11,5.8,18,6.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
1,2007-05-30,87,66,42,31,58,34,1,13,420,1918,0,0,29.31,30.04,10.3,19,10.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
1,2007-05-31,78,65,37,26,61,34,1,8,420,1919,0,0.01,29.28,30,9.3,19,9.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA
1,2007-06-01,85,62,39,28,63,35,1,10,419,1920,0,0.19,29.19,29.91,4.2,17,6.4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA
1,2007-06-02,81,65,38,27,63,36,1,9,419,1920,0,0.04,29.03,29.77,6.5,22,7.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-06-03,78,62,35,24,60,32,1,6,418,1921,0,0.01,28.82,29.56,5.2,25,6.7,0,1,0,0,0,0,1,0,1,0,0,0,1,0,NA,NA
1,2007-06-04,71,58,30,19,58,29,1,1,418,1922,0,0.39,28.82,29.52,7.8,31,9.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA
1,2007-06-05,64,47,21,17,48,20,30,1,417,1923,0,0.42,29.1,29.79,5.2,5,7.6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-06-06,71,44,23,16,48,24,28,1,417,1923,0,0.01,29.07,29.81,10.8,17,11.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA
1,2007-06-07,91,71,46,33,62,38,1,17,417,1924,0,0,28.84,29.55,22.7,20,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-06-08,81,57,34,21,53,30,1,5,417,1925,0,0,29.18,29.85,10.9,28,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-06-09,79,52,31,18,47,26,1,2,416,1925,0,0,29.36,30.07,0.3,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-06-10,81,55,33,19,51,28,1,4,416,1926,0,0,29.34,30.05,4.8,17,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-06-11,86,58,37,23,52,30,1,8,416,1926,0,0,29.41,30.11,4.9,11,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-06-12,83,62,38,23,50,29,1,9,416,1927,0,0,29.44,30.16,8.3,5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-06-13,87,60,39,24,53,31,1,10,416,1927,0,0,29.36,30.09,7.2,5,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
1,2007-06-14,89,64,42,27,55,33,1,13,416,1928,0,0,29.3,30.02,5.6,5,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
1,2007-06-15,91,63,42,27,56,33,1,13,416,1928,0,0,29.28,29.99,4.1,6,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
1,2007-06-16,93,66,45,29,60,36,1,16,416,1929,0,0,29.26,29.97,4.8,28,5.8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,1
1,2007-06-17,91,70,46,30,64,39,1,17,416,1929,0,0,29.23,29.95,2.8,11,6.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,1
1,2007-06-18,89,69,44,27,65,39,1,15,416,1929,0,0.28,29.12,29.84,14,20,15.1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,16,1
1,2007-06-19,80,65,38,21,55,32,1,9,416,1930,0,0.58,29.26,29.95,10.7,28,11.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1
1,2007-06-20,84,61,38,21,52,30,1,9,416,1930,0,0,29.39,30.1,7.8,27,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-06-21,77,61,34,1,51,29,1,5,416,1930,0,0.01,29.36,30.08,3.5,3,10.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1
1,2007-06-22,76,61,34,1,50,27,1,5,417,1931,0,0,29.33,30.06,7.8,6,8.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1
1,2007-06-23,67,62,30,13,58,30,1,1,417,1931,0,0.05,29.23,29.96,7.6,12,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,1
1,2007-06-24,77,63,35,1,62,34,1,6,417,1931,0,0,29.26,29.97,7,9,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19,1
1,2007-06-25,89,65,42,24,66,39,1,13,417,1931,0,0,29.38,30.07,3.9,14,6.8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19,1
1,2007-06-26,92,70,46,28,69,41,1,17,418,1931,0,0.16,29.39,30.11,6.1,22,7.1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,19,1
1,2007-06-27,91,71,46,28,70,41,1,17,418,1931,0,0.15,29.29,30.02,7.5,24,8.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1
1,2007-06-28,74,58,31,13,55,29,1,2,419,1931,0,0,29.41,30.09,11.9,3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-06-29,70,56,28,16,55,28,13,1,419,1931,0,0,29.41,30.13,7.6,2,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
1,2007-06-30,79,54,32,13,46,25,1,3,419,1931,0,0,29.41,30.13,4.9,3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-07-01,75,54,30,15,52,27,1,1,420,1931,0,0,29.51,30.23,8.6,4,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-07-02,79,53,31,14,50,27,1,2,420,1931,0,0,29.49,30.22,5.9,14,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-07-03,83,60,37,18,57,32,1,8,421,1931,0,0.4,29.31,30.06,6.7,21,7.3,0,1,0,0,0,0,0,0,1,0,0,0,1,0,18,1
1,2007-07-04,86,67,42,23,65,38,1,13,422,1930,0,0.16,29.18,29.9,4.6,27,8.2,0,1,0,0,0,1,1,0,0,0,0,0,1,0,17,1
1,2007-07-05,89,71,45,26,60,36,1,16,422,1930,0,0,29.24,29.94,6.4,31,8.1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,17,1
1,2007-07-06,86,66,41,22,57,33,1,12,423,1930,0,0,29.32,30.03,3.2,5,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-07-07,90,64,42,23,63,38,1,13,423,1930,0,0,29.18,29.91,8.4,22,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-07-08,94,75,50,30,67,41,1,21,424,1929,0,0,29.05,29.77,12.9,24,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
1,2007-07-09,94,70,47,27,66,39,1,18,425,1929,0,0.3,29.11,29.8,4.9,24,8.8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,17,1
1,2007-07-10,89,69,44,24,67,39,1,15,425,1929,0,0.43,29.06,29.77,8.6,23,10.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,16,1
1,2007-07-11,77,62,35,11,51,28,1,6,426,1928,0,0,29.23,29.93,8.8,30,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
1,2007-07-12,80,61,36,10,51,28,1,7,427,1928,0,0,29.22,29.93,9.4,29,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,2007-07-13,78,58,33,13,52,27,1,4,428,1927,0,0,29.26,29.98,1.4,1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,2007-07-14,84,61,38,18,55,31,1,9,428,1927,0,0,29.08,29.79,8.3,26,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,2007-07-15,82,60,36,11,53,30,1,7,429,1926,0,0,29.19,29.89,2.1,29,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-07-16,82,65,39,18,60,34,1,10,430,1925,0,0.39,29.25,29.96,4.4,24,5.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,1
1,2007-07-17,83,68,41,20,66,38,1,12,431,1925,0,0.11,29.18,29.9,5.2,23,6.5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,14,1
1,2007-07-18,85,69,42,21,68,40,1,13,432,1924,0,1.55,29.11,29.84,9.1,24,10.1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,14,1
1,2007-07-19,83,63,38,1,63,35,1,9,433,1923,0,0.16,29.21,29.9,7,1,11.9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-07-20,75,58,32,15,53,28,1,3,433,1923,0,0,29.44,30.14,8.6,3,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
1,2007-07-21,74,58,31,16,52,27,1,2,434,1922,0,0,29.51,30.22,6.5,3,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,2007-07-22,81,58,35,12,55,30,1,6,435,1921,0,0,29.49,30.21,1.7,16,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,2007-07-23,83,60,37,10,55,32,1,8,436,1920,0,0,29.37,30.1,3.2,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,2007-07-24,82,65,39,18,58,33,1,10,437,1919,0,0,29.32,30.04,3.1,20,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,2007-07-25,85,71,43,22,61,36,1,14,438,1918,0,0,29.29,30,5.8,25,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,2007-07-26,83,66,40,19,65,37,1,11,439,1918,0,0.19,29.19,29.92,7.2,22,9.4,0,1,0,0,0,0,1,0,1,0,0,1,1,0,12,1
1,2007-07-27,83,70,42,21,68,39,1,13,440,1917,0,0.17,29.11,29.82,3,3,7.9,0,1,0,0,0,0,1,0,1,0,0,0,0,0,13,1
1,2007-07-28,80,66,38,1,65,37,1,9,441,1916,0,0,29.23,29.93,10,3,10.2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,1
1,2007-07-29,85,63,39,18,57,33,1,10,442,1915,0,0,29.28,29.99,4.8,5,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-07-30,89,62,41,20,55,33,1,12,443,1914,0,0,29.33,30.03,3.8,6,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-07-31,91,68,45,24,61,37,1,16,444,1913,0,0,29.33,30.04,3.3,4,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
1,2007-08-01,92,69,46,26,62,38,1,17,445,1911,0,0,29.29,30,3.5,9,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1
1,2007-08-02,91,70,46,26,66,40,1,17,446,1910,0,0,29.26,29.97,5.5,26,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,1
1,2007-08-03,90,69,45,25,56,35,1,16,447,1909,0,0,29.31,30.02,2.7,3,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
1,2007-08-04,81,64,38,18,58,33,1,9,448,1908,0,0.03,29.31,30.03,5.7,8,6.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,1
1,2007-08-05,88,67,43,23,71,42,1,14,449,1907,0,1.43,29.08,29.81,5.4,21,9.6,0,1,0,0,0,0,1,0,1,0,0,0,1,0,11,1
1,2007-08-06,88,74,46,26,72,43,1,17,450,1906,0,0.26,29.13,29.83,1.6,10,4.9,0,1,0,0,0,0,1,0,1,0,0,0,1,0,11,1
1,2007-08-07,91,72,47,27,73,45,1,18,451,1904,0,1.31,29.06,29.76,6.2,25,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,11,1
1,2007-08-08,87,73,45,25,71,42,1,16,452,1903,0,0.06,29.13,29.83,3,3,6.9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,12,1
1,2007-08-09,84,72,43,23,71,42,1,14,453,1902,0,0.05,29.13,29.84,2.5,29,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,13,1
1,2007-08-10,86,70,43,23,68,41,1,14,454,1900,0,0,29.26,29.96,4.5,2,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-08-11,89,67,43,23,65,39,1,14,455,1859,0,0,29.31,30.02,3.2,19,3.9,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13,1
1,2007-08-12,88,67,43,23,67,40,1,14,456,1858,0,0.29,29.34,30.06,1.7,6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1
1,2007-08-13,81,65,38,18,57,33,1,9,457,1856,0,0,29.39,30.11,6.2,6,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-08-14,84,65,40,21,67,39,1,11,458,1855,0,0.41,29.23,29.93,5.9,25,8,0,1,0,0,0,0,0,0,1,0,0,1,1,0,14,1
1,2007-08-15,80,71,41,22,67,39,1,12,459,1854,0,0.23,29.17,29.89,3.4,7,5.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,15,1
1,2007-08-16,77,65,36,1,64,36,1,7,500,1852,0,0,29.28,29.97,3.6,1,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1
1,2007-08-17,79,60,35,10,54,30,1,6,501,1851,0,0,29.41,30.1,5.9,32,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,2007-08-18,68,59,29,16,54,27,2,1,502,1849,0,0.09,29.44,30.16,6.4,12,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1
1,2007-08-19,68,62,30,14,62,33,1,1,503,1848,0,1.33,29.24,29.99,6,10,7.4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,16,1
1,2007-08-20,78,68,38,20,68,38,1,9,504,1846,0,0.91,29.15,29.87,0.5,12,5.7,0,1,0,0,0,0,0,0,1,0,0,0,1,0,17,1
1,2007-08-21,87,69,43,25,70,41,1,14,505,1845,0,0,29.21,29.91,3.8,18,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,17,1
1,2007-08-22,90,69,45,27,71,42,1,16,506,1843,0,0.37,29.23,29.94,5.3,21,9.5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,18,1
1,2007-08-23,87,69,43,25,69,40,1,14,508,1842,0,2.35,29.15,29.87,9.6,21,11.7,0,1,0,0,0,0,0,0,1,0,0,1,1,1,18,1
1,2007-08-24,80,69,40,22,67,38,1,11,509,1840,0,0.24,29.11,29.82,5.8,25,7.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,1
1,2007-08-25,79,64,37,20,63,35,1,8,510,1839,0,0.34,29.23,29.93,3,36,5.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1
1,2007-08-26,79,60,35,18,55,30,1,6,511,1837,0,0,29.38,30.08,3.6,11,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
1,2007-08-27,79,60,35,18,60,33,1,6,512,1835,0,0,29.36,30.07,6.5,17,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
1,2007-08-28,91,67,44,27,66,39,1,15,513,1834,0,0,29.28,29.99,9,20,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
1,2007-08-29,85,68,42,25,65,38,1,13,514,1832,0,0,29.34,30.04,5.6,3,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
1,2007-08-30,75,57,31,12,54,29,1,2,515,1831,0,0,29.47,30.18,9.1,2,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-08-31,77,57,32,10,52,28,1,3,516,1829,0,0,29.47,30.19,3.9,4,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
1,2007-09-01,81,57,34,19,55,30,1,5,517,1827,0,0,29.49,30.22,4.2,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-09-02,85,61,38,23,57,32,1,9,518,1826,0,0,29.41,30.15,4.2,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-09-03,88,66,42,27,61,36,1,13,519,1824,0,0,29.36,30.09,2,27,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-09-04,89,63,41,26,60,35,1,12,520,1822,0,0,29.28,30,2.8,22,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-09-05,90,66,43,29,63,38,1,14,521,1821,0,0,29.24,29.96,6.4,19,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18,1
1,2007-09-06,82,73,43,29,67,39,1,14,522,1819,0,0.18,29.21,29.92,11.9,20,12.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,19,1
1,2007-09-07,84,70,42,28,68,39,1,13,523,1817,0,0.19,29.15,29.85,10.4,23,13.9,0,1,0,0,0,0,1,0,1,0,0,0,1,0,20,1
1,2007-09-08,78,64,36,23,57,32,1,7,524,1815,0,0,29.3,30,6,5,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1
1,2007-09-09,80,63,37,24,59,32,1,8,525,1814,0,0,29.36,30.06,9.2,3,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-10,74,54,29,10,58,29,2,1,526,1812,0,0.36,29.3,30.04,7.2,2,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,1
1,2007-09-11,71,50,26,12,44,21,25,1,527,1810,0,0,29.2,29.92,11.7,29,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-12,67,46,22,16,42,18,29,1,528,1809,0,0,29.4,30.12,1.8,3,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-13,78,50,29,1,45,23,2,1,529,1807,0,0,29.23,29.99,8.3,19,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-14,66,45,21,16,39,17,30,1,530,1805,0,0,29.36,30.05,12.1,32,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-15,61,39,15,6,33,12,8,1,531,1803,0,0,29.56,30.28,1.4,33,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-16,71,44,23,14,40,18,28,1,532,1760,0,0,29.46,30.19,6.8,18,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-17,80,52,31,20,49,26,1,2,533,1758,0,0,29.39,30.12,11.7,17,12.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
1,2007-09-18,88,63,41,30,58,34,1,12,535,1756,0,0,29.34,30.06,12.9,19,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
1,2007-09-19,84,65,40,30,59,34,1,11,536,1755,0,0,29.41,30.11,5,26,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
1,2007-09-20,78,60,34,25,59,32,1,5,537,1753,0,0,29.39,30.12,5.3,7,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1
1,2007-09-21,88,64,41,32,59,35,1,12,538,1751,0,0,29.18,29.9,10.3,21,12.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,1
1,2007-09-22,74,51,28,19,43,22,13,1,539,1749,0,0,29.42,30.12,2.6,3,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,2007-09-23,84,50,32,24,50,27,1,3,540,1748,0,0,29.43,30.16,4.6,13,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-09-24,90,68,44,36,63,37,1,15,541,1746,0,0,29.27,29.99,11.4,19,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-09-25,85,63,39,31,65,38,1,10,542,1744,0,0.27,29.23,29.95,7.9,23,10.5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,14,1
1,2007-09-26,69,53,26,19,50,24,25,1,543,1742,0,0.09,29.31,30.03,4.3,1,6.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,1
1,2007-09-27,75,49,27,20,49,24,24,1,544,1741,0,0,29.26,29.97,4.9,24,6.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,1
1,2007-09-28,73,53,28,22,46,22,13,1,545,1739,0,0,29.47,30.17,2.3,4,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
1,2007-09-29,80,50,30,24,46,24,1,1,546,1737,0,0,29.5,30.23,9.5,17,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-09-30,83,59,36,30,49,28,1,7,547,1735,0,0.14,29.36,30.1,14.4,19,14.6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,1
1,2007-10-01,69,59,29,24,59,30,2,1,548,1734,0,0.29,29.28,30,6.1,22,8.1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,14,1
1,2007-10-02,78,57,33,28,59,32,1,4,549,1732,0,0.09,29.18,29.92,10.8,19,11.1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,14,1
1,2007-10-03,74,55,30,26,48,25,1,1,550,1730,0,0,29.28,29.98,5.9,26,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1
1,2007-10-04,82,51,32,28,56,30,1,3,552,1729,0,0,29.34,30.04,3.9,17,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1
1,2007-10-05,84,62,38,34,65,37,1,9,553,1727,0,0,29.36,30.08,7,17,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,1
1,2007-10-06,87,69,43,40,67,39,1,14,554,1725,0,0,29.33,30.04,6.9,20,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
1,2007-10-07,87,67,42,39,66,39,1,13,555,1724,0,0,29.31,30.03,5.2,19,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
1,2007-10-08,87,60,39,36,61,35,1,10,556,1722,0,0,29.23,29.93,7.7,24,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
