Year,Month,Day,Date,PrecipTotal,PrecipTotal2
2011,4,21,21/04/2011,0.03,0.01
2011,4,22,22/04/2011,0.56,0.71
2011,4,23,23/04/2011,0.00,T
2011,4,24,24/04/2011,0.00,T
2011,4,25,25/04/2011,0.34,0.37
2011,4,26,26/04/2011,0.38,0.60
2011,4,27,27/04/2011,0.31,0.28
2011,4,28,28/04/2011,0.03,0.04
2011,4,29,29/04/2011,0.00,T
2011,4,30,30/04/2011,0.00,0.00
2013,3,1,01/03/2013,0.02,T
2013,3,2,02/03/2013,T,T
2013,3,3,03/03/2013,0.00,0.00
2013,3,4,04/03/2013,T,T
2013,3,5,05/03/2013,0.66,0.22
2013,3,6,06/03/2013,T,T
2013,3,7,07/03/2013,0.00,T
2013,3,8,08/03/2013,0.00,0.00
2013,3,9,09/03/2013,0.04,0.02
2013,3,10,10/03/2013,0.87,1.00
2013,3,11,11/03/2013,0.07,0.06
2013,3,12,12/03/2013,0.05,T
2013,3,13,13/03/2013,T,T
2013,3,14,14/03/2013,T,T
2013,3,15,15/03/2013,0.20,0.16
2013,3,16,16/03/2013,T,T
2013,3,17,17/03/2013,0.00,0.00
2013,3,18,18/03/2013,0.08,0.02
2013,3,19,19/03/2013,T,T
2013,3,20,20/03/2013,T,T
2013,3,21,21/03/2013,0.00,0.00
2013,3,22,22/03/2013,0.00,0.00
2013,3,23,23/03/2013,0.00,0.00
2013,3,24,24/03/2013,0.01,T
2013,3,25,25/03/2013,T,T
2013,3,26,26/03/2013,0.00,T
2013,3,27,27/03/2013,0.00,0.00
2013,3,28,28/03/2013,0.00,0.00
2013,3,29,29/03/2013,0.00,0.00
2013,3,30,30/03/2013,T,T
2013,3,31,31/03/2013,T,T
2013,4,1,01/04/2013,0.00,0.00
2013,4,2,02/04/2013,0.00,0.00
2013,4,3,03/04/2013,0.00,0.00
2013,4,4,04/04/2013,0.00,0.00
2013,4,5,05/04/2013,0.00,0.00
2013,4,6,06/04/2013,0.04,0.08
2013,4,7,07/04/2013,T,0.00
2013,4,8,08/04/2013,0.49,0.41
2013,4,9,09/04/2013,0.20,0.18
2013,4,10,10/04/2013,0.94,1.15
2013,4,11,11/04/2013,0.24,0.13
2013,4,12,12/04/2013,T,0.02
2013,4,13,13/04/2013,T,0.01
2013,4,14,14/04/2013,T,T
2013,4,15,15/04/2013,0.36,0.32
2013,4,16,16/04/2013,0.01,T
2013,4,17,17/04/2013,2.01,1.87
2013,4,18,18/04/2013,3.54,1.66
2013,4,19,19/04/2013,0.01,T
2013,4,20,20/04/2013,0.00,T
2013,4,21,21/04/2013,0.00,0.00
2013,4,22,22/04/2013,0.00,0.00
2013,4,23,23/04/2013,0.70,0.52
2013,4,24,24/04/2013,0.04,0.01
2013,4,25,25/04/2013,0.07,0.01
2013,4,26,26/04/2013,0.00,0.00
2013,4,27,27/04/2013,0.00,T
2013,4,28,28/04/2013,0.03,0.06
2013,4,29,29/04/2013,0.00,0.00
2013,4,30,30/04/2013,0.00,0.00
