"X","Longitude","Latitude","Season_code_1","Season_code_2","Season_code_3","CULEX_ERRATICUS","CULEX_PIPIENS","CULEX_PIPIENS_RESTUANS","CULEX_RESTUANS","CULEX_SALINARIUS","CULEX_TARSALIS","CULEX_TERRITANS","Sunrise","Sunset","Tmin2","Tavg","Depart","Heat","DewPoint","TrapClusterNum_7","TrapClusterNum_9","TrapClusterNum_1","TrapClusterNum_5","TrapClusterNum_8","TrapClusterNum_6","TrapClusterNum_2","TrapClusterNum_10","TrapClusterNum_4","TrapClusterNum_3","Month_6","Month_8","Month_9","Month_10","Month_7","Month_5","ParasiticIn","Influenza","Tmax2","Tavg2","Heat2","Tmax","Tmin","Cool","StnPressure2","WetBulb2","FG2","BR2","TS","TSRA","TS2","TSRA2","HZ","RA","AvgSpeed2","AvgSpeed","ResultSpeed","RA45","RA45_2","pre45_1_2","pre45_1","PrecipTotal"
1166,-87.785288,41.923738,0,0,1,0,4,1,0,0,0,0,535,1756,66,41,30,1,58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.29,0.67,89,43,1,88,63,12,29.41,34,0,0,0,0,0,0,0,0,12.8,13.1,12.9,18,12,1,1,0
2429,-87.890615,41.974689,0,0,1,0,3,13,1,0,0,0,548,1734,44,15,16,8,46,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.24,1.05,59,17,6,59,41,1,29.18,18,0,1,0,0,0,1,0,1,8.7,9.5,9.1,13,10,1,0,0.89
3119,-87.747113,41.991429,0,1,0,0,0,3,0,0,0,0,511,1837,61,36,19,1,58,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.25,0.57,83,37,1,83,59,7,29.32,33,0,0,0,0,0,0,0,0,3.4,3.3,1.9,12,10,0,1,0
1442,-87.598865,41.692555,0,0,1,0,3,9,0,0,0,0,552,1729,56,32,28,1,56,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.27,0.77,83,35,1,82,51,3,29.39,31,0,0,0,0,0,0,1,0,5.9,4.6,3.9,12,9,1,1,0
2077,-87.666014,41.720848,0,1,0,0,3,17,4,0,0,0,451,1904,67,34,12,1,59,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.26,0.6,74,36,1,74,64,5,29.41,32,0,1,0,0,0,0,0,1,7.2,7.8,7.3,14,11,1,0,0.33
4067,-87.777189,41.960616,0,1,0,0,0,16,0,0,0,0,452,1903,69,37,1,1,56,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.26,0.58,79,39,1,78,65,8,29.33,31,0,0,0,0,0,0,0,0,10.8,9.3,8.6,11,15,0,1,0
3316,-87.724608,41.662014,0,0,1,0,0,0,1,0,0,0,532,1760,48,17,4,6,40,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.25,0.57,59,19,4,58,46,1,29.65,16,0,0,0,0,0,0,0,0,3.7,3.3,1.4,13,13,0,1,0
2971,-87.627096,41.776428,0,1,0,0,0,0,0,0,0,1,449,1907,70,41,21,1,68,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,84,42,1,83,69,12,29.26,40,0,0,0,0,0,0,0,1,6,5.5,4,11,9,0,1,0
1586,-87.649642,41.732984,0,1,0,0,1,4,5,0,0,0,417,1923,47,27,11,24,44,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.28,0.85,80,29,2,79,44,1,29.23,23,0,0,0,0,0,0,0,0,7.2,6.7,5.8,13.1155290375629,12.0216409366304,1,1,0
778,-87.750938,41.979243,0,1,0,0,5,1,0,0,0,0,505,1845,69,43,25,1,70,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.29,0.67,85,42,1,87,69,14,29.26,41,0,1,0,0,0,0,1,0,6,6,3.8,17,13,1,1,0
3150,-87.654491,41.891118,0,1,0,0,0,5,0,0,0,0,511,1837,61,36,19,1,58,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,83,37,1,83,59,7,29.32,33,0,0,0,0,0,0,0,0,3.4,3.3,1.9,12,10,0,1,0
1308,-87.687769,42.01743,0,0,1,0,5,3,0,0,0,0,541,1746,71,44,36,1,63,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,91,46,1,90,68,15,29.34,38,0,0,0,0,0,0,0,0,10.5,11.9,11.4,13,10,1,1,0
1318,-87.666901,41.868077,0,0,1,0,3,0,0,0,0,0,541,1746,71,44,36,1,63,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,91,46,1,90,68,15,29.34,38,0,0,0,0,0,0,0,0,10.5,11.9,11.4,13,10,1,1,0
2501,-87.794896,41.94016,0,1,0,0,0,1,7,0,0,0,416,1929,64,36,20,1,60,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.23,0.76,82,38,1,82,60,7,29.18,34,0,0,0,0,0,0,0,0,6.2,6.6,5.8,19,15,1,1,0
12,-87.654491,41.891118,1,0,0,0,0,0,1,0,0,0,421,1917,65,39,28,1,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.26,0.8,88,42,1,88,60,10,29.44,35,0,1,0,0,0,0,1,0,7.4,6.5,5.8,15.7722569219176,13.2689506455127,1,1,0
864,-87.531657,41.717753,0,1,0,0,22,18,0,0,0,0,506,1843,70,45,27,1,71,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,90,45,1,90,69,16,29.29,42,0,1,1,1,0,1,0,1,8.4,9.5,5.3,18,14,1,1,0.37
219,-87.703047,41.77166,0,1,0,0,0,4,0,0,0,0,426,1928,63,35,11,1,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,77,35,1,77,62,6,29.28,28,0,0,0,0,0,0,0,0,11.2,10.9,8.8,15,15,0,0,0
2969,-87.629798,41.878114,0,1,0,0,3,3,0,0,0,0,449,1907,70,41,21,1,68,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,84,42,1,83,69,12,29.26,40,0,0,0,0,0,0,0,1,6,5.5,4,11,9,0,1,0
186,-87.832763,41.944869,0,1,0,0,1,8,3,0,0,0,426,1928,63,35,11,1,51,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.29,0.67,77,35,1,77,62,6,29.28,28,0,0,0,0,0,0,0,0,11.2,10.9,8.8,15,15,0,0,0
3404,-87.612922,41.754676,0,0,1,0,0,3,1,0,0,0,540,1748,48,20,14,3,44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,62,20,3,62,48,1,29.38,20,0,0,0,0,0,0,0,0,6.4,7,5.9,13,13,0,1,0
3539,-87.700117,41.932094,0,1,0,0,0,0,9,0,0,0,416,1928,57,32,1,1,51,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.24,0.72,76,32,1,78,56,3,29.4,26,0,0,0,0,0,0,0,0,7.8,7.9,6.6,20,17,1,1,0
800,-87.696293,41.869107,0,1,0,0,11,9,0,0,0,0,505,1845,69,43,25,1,70,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,85,42,1,87,69,14,29.26,41,0,1,0,0,0,0,1,0,6,6,3.8,17,13,1,1,0
894,-87.736812,41.798697,0,1,0,0,8,1,0,0,0,2,509,1840,69,40,22,1,67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,81,40,1,80,69,11,29.16,38,0,1,0,1,1,1,0,1,7.3,7.1,5.8,19,14,1,1,0.24
1157,-87.812827,41.981964,0,0,1,0,21,6,0,0,0,0,535,1756,66,41,30,1,58,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.29,0.67,89,43,1,88,63,12,29.41,34,0,0,0,0,0,0,0,0,12.8,13.1,12.9,18,12,1,1,0
2029,-87.605294,41.750498,0,1,0,0,6,11,6,0,0,0,444,1913,62,35,12,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,82,37,1,81,58,6,29.29,31,0,0,0,0,0,0,0,0,6.7,7.3,6.2,14,11,1,1,0
3333,-87.666343,41.822536,0,0,1,0,0,2,2,0,0,0,532,1760,48,17,4,6,40,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.57,59,19,4,58,46,1,29.65,16,0,0,0,0,0,0,0,0,3.7,3.3,1.4,13,13,0,1,0
1889,-87.726549,41.82561,0,1,0,0,1,0,2,1,0,0,431,1925,58,29,2,2,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,70,29,2,70,57,1,29.21,26,0,0,0,0,0,0,0,0,10.4,10.8,10.6,15,16,1,1,0
241,-87.655232,41.896282,0,1,0,0,0,2,1,0,0,0,426,1928,63,35,11,1,51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,77,35,1,77,62,6,29.28,28,0,0,0,0,0,0,0,0,11.2,10.9,8.8,15,15,0,0,0
3169,-87.55551,41.733643,0,1,0,0,0,3,0,0,0,0,511,1837,61,36,19,1,58,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,83,37,1,83,59,7,29.32,33,0,0,0,0,0,0,0,0,3.4,3.3,1.9,12,10,0,1,0
2565,-87.742302,41.763733,0,1,0,0,0,3,0,0,0,0,417,1931,60,29,15,2,56,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.23,0.76,68,29,2,68,60,1,29.13,28,0,0,0,0,0,0,0,0,8.7,9.6,9.4,20,16,1,1,0
964,-87.565666,41.704572,0,1,0,0,290,123,0,0,0,0,513,1834,69,44,27,1,66,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,90,45,1,91,67,15,29.34,39,0,0,0,0,0,0,0,0,8.3,9.5,9,20,15,1,1,0
1830,-87.703736,41.704336,0,1,0,0,0,21,3,0,0,0,425,1929,67,38,18,1,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26,0.6,84,41,1,82,63,9,29.41,37,0,1,0,0,0,0,0,1,4.6,4.9,4.4,18,16,1,1,0.08
1826,-87.724608,41.662014,0,1,0,0,0,0,42,0,0,0,425,1929,67,38,18,1,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.26,0.6,84,41,1,82,63,9,29.41,37,0,1,0,0,0,0,0,1,4.6,4.9,4.4,18,16,1,1,0.08
3745,-87.666343,41.822536,0,1,0,0,0,1,3,0,0,0,424,1929,71,43,23,1,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
2152,-87.778927,41.776156,0,1,0,0,0,1,0,0,0,0,510,1839,61,36,19,1,61,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.26,0.6,82,37,1,83,59,7,29.39,34,0,0,0,0,0,0,0,0,8.6,9.2,9.1,12,11,0,0,0
2103,-87.777189,41.960616,0,1,0,0,0,1,0,0,0,0,457,1856,63,38,18,1,55,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.26,0.6,86,40,1,86,60,9,29.44,32,0,0,0,0,0,0,0,0,4,3.8,1.5,14,11,1,0,0
1142,-87.598865,41.692555,0,0,1,0,0,3,0,0,0,0,528,1809,46,22,16,29,42,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,66,21,30,67,46,1,29.46,19,0,0,0,0,0,0,0,0,6,5.6,1.8,19,13,1,1,0
1768,-87.747113,41.991429,0,1,0,0,0,5,5,0,0,0,423,1930,63,38,19,1,54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.26,0.6,85,39,1,86,60,9,29.2,32,0,0,0,0,0,0,0,0,5.5,7.8,7.5,17,16,1,1,0
2753,-87.703047,41.77166,0,1,0,0,0,7,0,0,0,1,429,1926,71,44,23,1,60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.25,0.57,86,44,1,87,70,15,29.33,36,0,0,0,0,0,0,0,0,6.8,6.7,5.4,13,13,1,0,0
1699,-87.890615,41.974689,0,1,0,0,0,1520,76,0,0,0,417,1931,70,44,27,1,67,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.28,0.85,89,45,1,89,68,15,29.15,40,0,0,0,1,0,1,0,1,7.2,5.6,4,15,16,1,1,0.09
3734,-87.701431,41.906638,0,1,0,0,0,0,3,0,0,0,424,1929,71,43,23,1,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
616,-87.605294,41.750498,0,1,0,0,35,25,1,0,0,0,451,1904,73,47,27,1,73,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,92,48,1,91,72,18,29.11,45,0,0,0,0,0,0,0,1,8.8,9,6.2,11,10,0,1,1.31
4028,-87.668055,41.912563,0,1,0,0,0,19,1,0,0,0,445,1911,61,36,10,1,57,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,82,37,1,81,61,7,29.29,31,0,0,0,0,0,0,0,0,7.1,7.8,7.6,11,14,0,1,0
580,-87.694259,41.919343,0,1,0,0,1,1,0,0,0,0,451,1904,73,47,27,1,73,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,92,48,1,91,72,18,29.11,45,0,0,0,0,0,0,0,1,8.8,9,6.2,11,10,0,1,1.31
1629,-87.649642,41.732984,0,1,0,0,0,2,57,1,0,0,416,1927,50,27,14,24,49,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.28,0.85,72,26,25,74,49,1,29.3,24,0,0,0,0,0,0,0,1,6.7,5.8,4.4,15.2951659155589,11.1275750174246,1,1,0
2285,-87.649642,41.732984,0,0,1,0,0,1,0,0,0,0,530,1805,59,36,25,1,55,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.26,0.6,84,37,1,84,58,7,29.4,31,0,0,0,0,0,0,0,0,2.7,2.1,0.1,12,10,1,0,0
294,-87.700117,41.932094,0,1,0,0,0,2,0,0,0,0,432,1924,69,42,21,1,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,85,42,1,85,69,13,29.18,40,0,1,0,1,1,1,0,1,10.6,10.1,9.1,14,15,0,1,1.55
1476,-87.71188,41.800737,1,0,0,0,0,1,0,0,0,0,421,1916,55,23,13,28,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.28,0.85,64,25,26,62,54,1,29.11,23,0,0,0,0,0,0,0,0,8.3,8.1,6.8,13.2126647963936,13.2124986025331,1,1,0
1206,-87.61156,41.891126,0,0,1,0,7,2,0,0,0,1,535,1756,66,41,30,1,58,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,89,43,1,88,63,12,29.41,34,0,0,0,0,0,0,0,0,12.8,13.1,12.9,18,12,1,1,0
1421,-87.666455,41.9216,0,0,1,0,0,7,0,0,0,0,552,1729,56,32,28,1,56,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.27,0.77,83,35,1,82,51,3,29.39,31,0,0,0,0,0,0,1,0,5.9,4.6,3.9,12,9,1,1,0
716,-87.64997,41.723195,0,1,0,0,16,12,0,0,0,0,459,1854,72,41,22,1,67,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.29,0.67,81,42,1,80,71,12,29.23,40,0,1,0,1,1,1,0,1,7.1,5.8,3.4,15,12,0,1,0.23
51,-87.654224,41.867108,0,1,0,0,2,1,1,0,0,0,417,1923,51,21,17,30,48,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.26,0.8,63,22,29,64,47,1,29.16,21,0,1,0,0,0,0,0,1,8.1,7.6,5.2,16.3162312117209,19.6483478067053,1,1,0.42
4219,-87.736812,41.798697,0,1,0,0,2,11,6,0,0,0,506,1843,67,38,20,1,67,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,78,38,1,78,68,9,29.42,37,0,0,0,0,0,0,0,1,7,7,1.5,12,11,0,0,0.23
4116,-87.605294,41.750498,0,1,0,0,0,7,2,0,0,0,452,1903,69,37,1,1,56,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,79,39,1,78,65,8,29.33,31,0,0,0,0,0,0,0,0,10.8,9.3,8.6,11,15,0,1,0
90,-87.676709,41.688324,0,1,0,0,0,2,2,0,0,0,418,1931,73,46,28,1,69,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.26,0.8,91,47,1,92,70,17,29.45,41,0,1,0,1,0,0,1,0,8.1,7.1,6.1,19,18,0,1,0.16
2254,-87.785288,41.923738,0,0,1,0,0,10,2,0,0,0,530,1805,59,36,25,1,55,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.26,0.6,84,37,1,84,58,7,29.4,31,0,0,0,0,0,0,0,0,2.7,2.1,0.1,12,10,1,0,0
3004,-87.716788,41.89923,0,1,0,0,0,0,1,0,0,1,456,1858,65,36,10,1,59,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.25,0.57,82,39,1,81,60,7,29.28,33,0,0,0,0,0,0,0,0,8.4,8.5,8.3,10,9,0,1,0
755,-87.824812,41.974089,0,1,0,0,16,5,0,0,0,0,505,1845,69,43,25,1,70,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.29,0.67,85,42,1,87,69,14,29.26,41,0,1,0,0,0,0,1,0,6,6,3.8,17,13,1,1,0
1741,-87.632085,41.921965,0,1,0,0,0,1,0,0,0,0,418,1931,72,43,25,1,60,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.28,0.85,86,44,1,86,69,14,29.2,36,0,0,0,0,0,0,0,0,8,8.2,6.4,15,15,1,1,0
3571,-87.862995,41.992478,0,1,0,0,0,0,32,0,0,0,416,1930,70,40,23,1,65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.24,0.72,85,43,1,82,68,11,29.39,36,0,0,0,0,0,1,0,1,9.6,9.5,7.4,19,18,1,1,0.79
997,-87.729384,41.837085,0,0,1,0,1,0,0,0,0,0,520,1822,67,41,26,1,60,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.67,90,44,1,89,63,12,29.34,36,0,0,0,0,0,0,0,0,5,4.3,2.8,17,12,1,1,0
3420,-87.800515,41.916265,0,0,1,0,0,3,4,1,0,0,547,1735,47,16,16,7,41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,0.57,58,18,5,57,45,1,29.37,16,0,0,0,0,0,0,0,1,16.3,15,14.6,18,18,0,1,0.09
2235,-87.649642,41.732984,0,0,1,0,0,1,5,0,0,1,519,1824,57,31,10,1,54,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.26,0.6,75,31,1,75,56,2,29.48,29,0,1,0,0,0,0,0,0,5.9,6,4.7,16,12,1,0,0
3097,-87.585413,41.726465,0,1,0,0,0,3,0,0,0,0,503,1848,67,41,23,1,63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.25,0.57,86,42,1,87,64,12,29.23,37,0,0,0,0,0,0,0,0,5.8,5.2,3.3,12,9,0,1,0
3502,-87.565666,41.704572,0,1,0,0,0,0,5,0,0,0,417,1924,54,25,14,26,45,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.24,0.72,68,26,25,68,52,1,29.26,21,0,0,0,0,0,0,0,0,9.2,9.9,9.5,13.4272499331465,14.0534669233637,1,1,0
1885,-87.736812,41.798697,0,1,0,0,1,4,1,0,0,0,431,1925,58,29,2,2,51,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.26,0.6,70,29,2,70,57,1,29.21,26,0,0,0,0,0,0,0,0,10.4,10.8,10.6,15,16,1,1,0
4372,-87.71188,41.800737,0,0,1,0,1,4,0,0,0,0,522,1819,62,37,23,1,58,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.26,0.58,85,39,1,86,57,8,29.44,32,0,0,0,0,0,0,0,0,6,6,4.7,11,11,0,0,0
382,-87.69181,41.963976,0,1,0,0,0,1,1,0,0,0,440,1917,70,42,21,1,68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.29,0.67,83,42,1,83,70,13,29.16,39,0,1,0,0,0,0,1,1,8.1,7.9,3,13,13,0,1,0.17
3736,-87.696269,41.868142,0,1,0,0,0,4,20,0,0,0,424,1929,71,43,23,1,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.26,0.58,87,44,1,86,70,14,29.31,41,0,1,0,1,0,0,0,1,10.5,8.4,7.8,18,21,1,1,0.5
823,-87.654491,41.891118,0,1,0,0,1,1,0,0,0,0,505,1845,69,43,25,1,70,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.29,0.67,85,42,1,87,69,14,29.26,41,0,1,0,0,0,0,1,0,6,6,3.8,17,13,1,1,0
2929,-87.785288,41.923738,0,1,0,0,2,1,0,0,0,0,449,1907,70,41,21,1,68,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.25,0.57,84,42,1,83,69,12,29.26,40,0,0,0,0,0,0,0,1,6,5.5,4,11,9,0,1,0
4181,-87.642984,41.803423,0,1,0,0,10,0,0,0,0,0,459,1854,57,30,15,1,53,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.26,0.58,74,31,1,75,55,1,29.47,27,0,0,0,0,0,0,0,0,5,4.9,4.2,11,12,0,0,0
