"ID","Station2","Date2","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2","BCFG2","BR2","DZ2","FG2","FG.2","FU2","GR2","HZ2","RA2","SN2","SQ2","TS2","TSRA2","VCFG2","VCTS2","Tmax2.imp","Tavg2.imp","PrecipTotal2.imp","RA45.2","PT45_gt052.imp","Tmax2.i","RA45.2i","PT45_gt052.i"
42,2,"2007-06-11",85,65,40,51,30,1,11,0,29.47,30.09,6.6,9,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,0,NA,NA,85,16.0783672092891,1.01396295796088
43,2,"2007-06-12",82,66,39,51,30,1,10,0,29.49,30.14,9.4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,39,0,NA,NA,82,12.636769300857,1.01462280733073
44,2,"2007-06-13",86,68,42,53,31,1,13,0,NA,NA,7,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,42,0,NA,NA,86,16.217696172675,1.01903157252177
45,2,"2007-06-14",89,68,44,54,32,1,15,0,29.36,30,5.9,7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,44,0,13,1,89,13,1
46,2,"2007-06-15",89,67,43,56,34,1,14,0,29.34,29.97,3.8,9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,0,13,1,89,13,1
47,2,"2007-06-16",92,68,45,61,37,1,16,0,29.33,29.96,2.1,22,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92,45,0,13,1,92,13,1
48,2,"2007-06-17",91,71,46,65,39,1,17,0.16,29.28,29.93,4,11,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91,46,0.16,13,1,91,13,1
49,2,"2007-06-18",89,73,46,65,39,1,17,0.02,29.19,29.83,12.2,20,12.6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,89,46,0.02,14,1,89,14,1
50,2,"2007-06-19",81,65,38,55,32,1,9,0.93,29.31,29.93,10.1,29,11.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,81,38,0.93,15,1,81,15,1
51,2,"2007-06-20",85,62,39,50,30,1,10,0,29.46,30.09,5.9,28,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,0,15,1,85,15,1
52,2,"2007-06-21",80,66,38,51,30,1,9,0,29.41,30.06,3.7,2,9.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,38,0,16,1,80,16,1
53,2,"2007-06-22",75,62,34,49,27,1,5,0,29.39,30.05,6.5,7,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,34,0,17,1,75,17,1
54,2,"2007-06-23",68,61,30,60,31,1,1,0.34,29.28,29.95,7.3,11,8.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68,30,0.34,18,1,68,18,1
55,2,"2007-06-24",75,65,35,62,34,1,6,0,29.33,29.96,5.6,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,75,35,0,18,1,75,18,1
56,2,"2007-06-25",86,67,42,67,39,1,13,0,29.44,30.06,4,12,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,86,42,0,18,1,86,18,1
57,2,"2007-06-26",91,73,47,69,41,1,18,0,29.45,30.09,7.3,21,8.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,91,47,0,18,1,91,18,1
58,2,"2007-06-27",89,71,45,69,41,1,16,0.35,29.36,30,7.9,24,8.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,89,45,0.35,19,1,89,19,1
59,2,"2007-06-28",73,61,32,56,30,1,3,NA,29.43,30.07,12.2,2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,32,0.95046952118854,19,1,73,19,1
60,2,"2007-06-29",71,56,29,56,29,2,1,NA,29.47,30.11,7.4,2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,29,0.0640497532250698,18,1,71,18,1
61,2,"2007-06-30",77,58,33,49,27,1,4,0,29.46,30.11,5.1,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,33,0,17,1,77,17,1
62,2,"2007-07-01",76,61,34,51,28,1,5,0,29.56,30.21,9.5,4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,34,0,17,1,76,17,1
63,2,"2007-07-02",77,58,33,50,28,1,4,0,29.55,30.21,7.4,12,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,33,0,17,1,77,17,1
64,2,"2007-07-03",83,63,38,56,32,1,9,0.09,29.38,30.05,6.4,21,7.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,83,38,0.09,18,1,83,18,1
65,2,"2007-07-04",84,67,41,65,38,1,12,0.66,29.23,29.88,3.1,25,8.8,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,84,41,0.66,18,1,84,18,1
66,2,"2007-07-05",88,70,44,60,36,1,15,0,29.29,29.92,4.3,33,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,44,0,18,1,88,18,1
67,2,"2007-07-06",84,68,41,57,34,1,12,0,29.38,30.01,3.3,7,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,41,0,18,1,84,18,1
68,2,"2007-07-07",88,68,43,62,37,1,14,0,29.24,29.9,7.4,23,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,43,0,18,1,88,18,1
69,2,"2007-07-08",93,75,49,67,41,1,20,0,29.12,29.76,12.6,23,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,49,0,17,1,93,17,1
70,2,"2007-07-09",93,72,48,67,40,1,19,0.24,29.16,29.79,4.8,23,8.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,48,0.24,17,1,93,17,1
71,2,"2007-07-10",89,70,45,67,40,1,16,0.08,29.13,29.76,8.2,23,10.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,89,45,0.08,16,1,89,16,1
72,2,"2007-07-11",77,63,35,51,28,1,6,0,29.28,29.92,9.1,30,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,35,0,15,1,77,15,1
73,2,"2007-07-12",80,60,35,51,29,1,6,0,29.28,29.92,10,28,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,35,0,15,1,80,15,1
74,2,"2007-07-13",74,59,32,53,28,1,3,0,29.33,29.98,2,7,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,32,0,15,1,74,15,1
75,2,"2007-07-14",85,62,39,55,31,1,10,0,29.14,29.79,8.4,25,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,0,15,1,85,15,1
76,2,"2007-07-15",80,64,37,52,30,1,8,0,29.25,29.88,1.2,9,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,37,0,14,1,80,14,1
77,2,"2007-07-16",82,66,39,60,34,1,10,0.07,29.31,29.94,5.6,23,6.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,82,39,0.07,15,1,82,15,1
78,2,"2007-07-17",83,69,41,65,38,1,12,0.11,29.24,29.89,6.3,23,7.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,83,41,0.11,15,1,83,15,1
79,2,"2007-07-18",85,69,42,69,40,1,13,0.92,29.18,29.83,10.3,24,10.6,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,85,42,0.92,15,1,85,15,1
80,2,"2007-07-19",82,63,38,62,35,1,9,0.01,29.26,29.88,7.7,36,14.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,82,38,0.01,14,1,82,14,1
81,2,"2007-07-20",74,62,33,52,28,1,4,0,29.49,30.12,11.3,4,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,33,0,13,1,74,13,1
82,2,"2007-07-21",75,58,32,52,28,1,3,0,29.57,30.21,5.8,4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,32,0,12,1,75,12,1
83,2,"2007-07-22",81,61,36,54,30,1,7,0,29.54,30.2,1.9,18,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,36,0,12,1,81,12,1
84,2,"2007-07-23",82,63,38,55,32,1,9,0,29.42,30.09,2.9,12,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,38,0,12,1,82,12,1
85,2,"2007-07-24",82,65,39,57,33,1,10,0,29.38,30.03,1.1,21,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,39,0,12,1,82,12,1
86,2,"2007-07-25",83,70,42,60,35,1,13,0,29.35,29.99,6.4,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,42,0,12,1,83,12,1
87,2,"2007-07-26",84,64,39,65,37,1,10,0.89,29.25,29.91,7.2,22,9.9,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,84,39,0.89,12,1,84,12,1
88,2,"2007-07-27",83,70,42,67,39,1,13,0.04,29.16,29.8,1.2,36,8.1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,83,42,0.04,13,1,83,13,1
89,2,"2007-07-28",80,70,40,65,37,1,11,0,29.28,29.91,10.6,3,10.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80,40,0,13,1,80,13,1
90,2,"2007-07-29",85,67,41,56,33,1,12,0,29.34,29.97,6.3,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,41,0,13,1,85,13,1
91,2,"2007-07-30",86,65,41,57,34,1,12,0,29.39,30.01,3.1,6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,41,0,13,1,86,13,1
92,2,"2007-07-31",89,69,44,60,37,1,15,0,29.39,30.02,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,44,0,13,1,89,13,1
93,2,"2007-08-01",91,69,45,63,39,1,16,0,29.34,29.98,2.1,13,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,45,0,13,1,91,13,1
94,2,"2007-08-02",91,73,47,66,41,1,18,0,29.31,29.95,6.5,23,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,47,0,12,1,91,12,1
95,2,"2007-08-03",88,73,46,58,36,1,17,0,29.36,30,3.3,6,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,46,0,11,1,88,11,1
96,2,"2007-08-04",81,68,40,58,34,1,11,0.02,29.36,30.01,5.9,9,6.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,40,0.02,12,1,81,12,1
97,2,"2007-08-05",88,68,43,71,41,1,14,0.97,29.15,29.79,7,22,10.2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,88,43,0.97,12,1,88,12,1
98,2,"2007-08-06",85,75,45,72,43,1,16,0.05,29.17,29.81,2.6,10,4.6,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,85,45,0.05,11,1,85,11,1
99,2,"2007-08-07",92,73,48,73,45,1,19,0.06,29.11,29.74,6.3,24,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,48,0.06,10,1,92,10,1
100,2,"2007-08-08",87,74,46,72,43,1,17,0.09,29.18,29.81,1.5,4,6.4,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,87,46,0.09,11,1,87,11,1
101,2,"2007-08-09",85,73,44,71,42,1,15,0.46,29.19,29.82,3.1,27,6.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,85,44,0.46,11,1,85,11,1
102,2,"2007-08-10",86,73,45,69,41,1,16,0,29.32,29.94,3,6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,45,0,11,1,86,11,1
103,2,"2007-08-11",88,68,43,65,39,1,14,0,29.38,30,3.1,20,3.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,43,0,10,1,88,10,1
104,2,"2007-08-12",87,68,43,67,39,1,14,0.23,29.4,30.04,1.9,6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,43,0.23,10,1,87,10,1
105,2,"2007-08-13",80,69,40,54,32,1,11,0,29.44,30.08,6.9,8,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,0,10,1,80,10,1
106,2,"2007-08-14",84,65,40,66,38,1,11,0.45,29.29,29.92,6.4,23,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,84,40,0.45,11,1,84,11,1
107,2,"2007-08-15",81,72,42,69,40,1,13,0.83,29.23,29.87,4.9,6,7.1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,81,42,0.83,12,1,81,12,1
108,2,"2007-08-16",77,67,37,65,37,1,8,0,29.33,29.95,3.5,1,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,37,0,12,1,77,12,1
109,2,"2007-08-17",80,65,38,54,31,1,9,0,29.46,30.08,6.1,31,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,38,0,11,1,80,11,1
110,2,"2007-08-18",69,60,30,54,27,1,1,0.42,29.48,30.15,6.1,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,30,0.42,11,1,69,11,1
111,2,"2007-08-19",69,62,31,63,33,1,2,1.33,29.3,29.98,5.5,10,7.5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,69,31,1.33,12,1,69,12,1
112,2,"2007-08-20",76,68,37,69,39,1,8,0.48,29.21,29.85,2.4,20,5.9,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,76,37,0.48,13,1,76,13,1
113,2,"2007-08-21",85,69,42,70,41,1,13,0.01,29.26,29.89,3.5,17,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,42,0.01,13,1,85,13,1
114,2,"2007-08-22",90,70,45,70,42,1,16,0.88,29.29,29.93,5.1,21,8.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,90,45,0.88,14,1,90,14,1
115,2,"2007-08-23",89,70,45,69,40,1,16,1.96,29.21,29.86,6.7,21,9.1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,89,45,1.96,13,1,89,13,1
116,2,"2007-08-24",81,69,40,67,38,1,11,0.2,29.16,29.81,5.5,25,7.3,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,81,40,0.2,14,1,81,14,1
117,2,"2007-08-25",76,65,36,63,35,1,7,0.25,29.29,29.91,2.4,3,6.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,76,36,0.25,15,1,76,15,1
118,2,"2007-08-26",78,61,35,55,31,1,6,0,29.44,30.07,3.7,11,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,35,0,15,1,78,15,1
119,2,"2007-08-27",79,63,36,59,33,1,7,0,29.41,30.06,6.4,16,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,36,0,15,1,79,15,1
120,2,"2007-08-28",90,69,45,65,39,1,16,0,29.34,29.98,7.8,21,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,0,15,1,90,15,1
121,2,"2007-08-29",86,69,43,64,38,1,14,0,29.39,30.02,5.3,3,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,43,0,15,1,86,15,1
122,2,"2007-08-30",75,60,33,54,30,1,4,0,29.51,30.15,10.8,3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,33,0,14,1,75,14,1
123,2,"2007-08-31",76,57,32,54,29,1,3,0,29.52,30.17,3,6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,32,0,13,1,76,13,1
124,2,"2007-09-01",79,60,35,56,31,1,6,0,29.54,30.2,4.4,11,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,35,0,12,1,79,12,1
125,2,"2007-09-02",84,62,38,56,32,1,9,0,29.47,30.13,4.8,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,38,0,12,1,84,12,1
126,2,"2007-09-03",88,64,41,61,36,1,12,0,29.42,30.07,3,25,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,41,0,12,1,88,12,1
127,2,"2007-09-04",90,67,44,59,36,1,15,0,29.34,29.99,2.2,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,0,12,1,90,12,1
128,2,"2007-09-05",91,72,47,62,38,1,18,0,29.31,29.94,6.4,19,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,47,0,12,1,91,12,1
129,2,"2007-09-06",84,74,44,66,39,1,15,0.08,29.27,29.91,12.8,20,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,84,44,0.08,12,1,84,12,1
130,2,"2007-09-07",84,71,43,67,39,1,14,0.67,29.21,29.84,9.5,23,13,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,84,43,0.67,13,1,84,13,1
131,2,"2007-09-08",78,68,38,58,33,1,9,0,29.34,29.98,8.4,5,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,38,0,13,1,78,13,1
132,2,"2007-09-09",79,63,36,59,33,1,7,0,29.41,30.03,10.1,3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,36,0,13,1,79,13,1
133,2,"2007-09-10",73,55,29,59,31,2,1,0.25,29.34,30.01,7.4,3,9.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,29,0.25,13,1,73,13,1
134,2,"2007-09-11",71,51,26,44,21,25,1,0,29.26,29.91,12.1,29,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,26,0,13,1,71,13,1
135,2,"2007-09-12",66,46,21,43,19,30,1,0,29.46,30.11,1.9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,0,13,1,66,13,1
136,2,"2007-09-13",79,53,31,43,23,1,2,0,29.3,29.98,7.1,20,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,31,0,13,1,79,13,1
137,2,"2007-09-14",67,47,22,40,18,29,1,0,29.41,30.04,11.7,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,22,0,13,1,67,13,1
138,2,"2007-09-15",62,42,17,35,14,6,1,0,29.62,30.28,1.1,35,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,17,0,13,1,62,13,1
