,Date,Longitude,Latitude,Month,Season_code_1,Season_code_2,Season_code_3,CULEX_ERRATICUS,CULEX_PIPIENS,CULEX_PIPIENS_RESTUANS,CULEX_RESTUANS,CULEX_SALINARIUS,CULEX_TARSALIS,CULEX_TERRITANS,ParasiticIn,Influenza,WnvPresentB,Tmax2,Tmin2,Tavg2,WetBulb2,Heat2,PrecipTotal2,StnPressure2,ResultDir2,AvgSpeed2,DZ2,FG2,HZ2,RA2,RA45_2,BR2,TS2,TSRA2,VCTS2,Tmax,Tmin,Tavg,Depart,DewPoint,Heat,Cool,Sunrise,Sunset,PrecipTotal,ResultSpeed,ResultDir,AvgSpeed,BR,DZ,FG,HZ,RA,RA45,TS,TSRA,VCTS,pre45_1_2,pre45_1,pre45_05,TrapClusterNum,dataset
4068,2013-08-08,-87.770899,41.994679,8,0,1,0,0,11,32,0,0,0,0,0.26,0.58,0,79,69,39,31,1,0.0,29.33,5,10.8,0,0,0,0,15.0,0,0,0,0,78,65,37,1,56,1,8,452,1903,0.0,8.6,5,9.3,0,0,0,0,0,11.0,0,0,0,0,1,1,2,train
482,2007-08-01,-87.627561,41.869215999999994,8,0,1,0,0,3,15,1,0,0,0,0.29,0.67,0,91,69,45,39,1,0.0,29.34,13,3.7,0,0,0,0,13.0,0,0,0,0,92,69,46,26,62,1,17,445,1911,0.0,3.5,9,4.1,0,0,0,1,0,12.0,0,0,0,0,1,1,1,train
945,2007-08-24,-87.629798,41.878114000000004,8,0,1,0,0,2,10,0,0,0,0,0.29,0.67,0,81,69,40,38,1,0.2,29.16,25,7.3,0,0,0,1,14.0,1,1,1,0,80,69,40,22,67,1,11,509,1840,0.24,5.8,25,7.1,0,0,0,0,1,19.0,0,1,0,1,1,1,1,train
520,2007-08-02,-87.60449799999999,41.644612,8,0,1,0,0,6,21,0,0,0,0,0.29,0.67,0,91,73,47,41,1,0.0,29.31,23,7.2,0,0,0,0,12.0,0,0,0,0,91,70,46,26,66,1,17,446,1910,0.0,5.5,26,5.9,0,0,0,1,0,11.0,0,0,0,0,1,1,5,train
1557,2009-06-05,-87.763416,41.801497999999995,6,0,1,0,0,1,3,10,0,0,0,0.28,0.85,0,80,47,29,23,2,0.0,29.23,25,7.2,0,0,0,0,12.0216409366304,0,0,0,0,79,44,27,11,44,24,1,417,1923,0.0,5.8,26,6.7,0,0,0,0,0,13.115529037562899,0,0,0,1,1,1,8,train
1081,2007-09-12,-87.77653199999999,41.781416,9,0,0,1,0,2,0,0,0,0,0,0.29,0.67,0,66,46,21,19,30,0.0,29.46,5,6.0,0,0,0,0,13.0,0,0,0,0,67,46,22,16,42,29,1,528,1809,0.0,1.8,3,5.6,0,0,0,0,0,19.0,0,0,0,1,1,1,8,train
3271,2011-09-12,-87.65449100000001,41.891118,9,0,0,1,0,1,1,1,0,0,0,0.25,0.57,0,86,64,40,34,1,0.0,29.24,23,9.3,0,0,0,0,12.0,0,0,0,0,86,64,40,28,59,1,11,528,1809,0.0,10.5,23,10.9,0,0,0,0,0,12.0,0,0,0,0,1,1,1,train
2510,2011-06-17,-87.746381,41.925197999999995,6,0,1,0,0,0,2,2,0,0,0,0.23,0.76,0,82,64,38,34,1,0.0,29.18,7,6.2,0,0,0,0,15.0,0,0,0,0,82,60,36,20,60,1,7,416,1929,0.0,5.8,6,6.6,0,0,0,0,0,19.0,0,0,0,1,1,1,6,train
2918,2011-07-29,-87.55551,41.733643,7,0,1,0,0,0,1,0,0,0,0,0.25,0.57,0,86,74,45,41,1,0.36,29.34,4,5.6,0,0,0,0,12.0,1,0,1,0,86,71,44,23,67,1,15,442,1915,0.7,4.3,4,5.9,1,0,0,0,0,14.0,0,0,0,1,1,1,7,train
1694,2009-06-19,-87.562889,41.766202,6,0,1,0,0,0,1,0,0,0,0,0.28,0.85,0,88,66,42,39,1,0.87,29.03,18,10.5,0,0,0,1,17.0,1,1,1,0,86,65,41,24,67,1,12,416,1930,3.97,7.2,18,11.6,1,0,0,0,0,17.0,1,1,0,1,1,1,7,train
2870,2011-07-29,-87.757639,41.964242,7,0,1,0,0,20,103,25,0,0,0,0.25,0.57,0,86,74,45,41,1,0.36,29.34,4,5.6,0,0,0,0,12.0,1,0,1,0,86,71,44,23,67,1,15,442,1915,0.7,4.3,4,5.9,1,0,0,0,0,14.0,0,0,0,1,1,1,10,train
611,2007-08-07,-87.62779599999999,41.821582,8,0,1,0,0,7,8,2,0,0,0,0.29,0.67,0,92,73,48,45,1,0.06,29.11,24,8.8,0,0,0,0,10.0,0,0,0,1,91,72,47,27,73,1,18,451,1904,1.31,6.2,25,9.0,1,0,0,0,1,11.0,0,0,0,0,1,1,1,train
3691,2013-06-28,-87.60088,41.773215,6,0,1,0,0,0,40,14,0,0,0,0.24,0.72,0,83,68,41,34,1,0.16,28.97,29,9.8,0,0,0,1,20.0,0,0,0,0,83,67,40,22,61,1,11,419,1931,0.0,10.5,31,10.9,0,0,0,0,1,21.0,0,0,0,1,1,1,7,train
3273,2011-09-12,-87.654224,41.867108,9,0,0,1,0,3,4,14,0,0,0,0.25,0.57,0,86,64,40,34,1,0.0,29.24,23,9.3,0,0,0,0,12.0,0,0,0,0,86,64,40,28,59,1,11,528,1809,0.0,10.5,23,10.9,0,0,0,0,0,12.0,0,0,0,0,1,1,1,train
2810,2011-07-25,-87.742302,41.763733,7,0,1,0,0,0,0,3,0,0,0,0.25,0.57,0,90,73,47,40,1,0.01,29.25,35,6.1,0,0,0,0,12.0,0,0,0,0,88,73,46,25,66,1,17,438,1918,0.0,3.4,32,6.5,0,0,0,0,0,14.0,0,0,0,1,1,1,8,train
177,2007-07-02,-87.656913,41.846283,7,0,1,0,0,0,1,0,0,0,0,0.29,0.67,0,77,58,33,28,1,0.0,29.55,12,8.5,0,0,0,0,17.0,0,0,0,0,79,53,31,14,50,1,2,420,1931,0.0,5.9,14,8.1,0,0,0,0,0,17.0,0,0,0,0,1,1,1,train
629,2007-08-08,-87.536497,41.702723999999996,8,0,1,0,0,110,137,2,0,0,0,0.29,0.67,1,87,74,46,43,1,0.09,29.18,4,6.4,1,0,1,1,11.0,1,0,1,0,87,73,45,25,71,1,16,452,1903,0.06,3.0,3,6.9,1,0,0,0,1,12.0,0,1,0,0,1,1,5,train
1972,2009-07-27,-87.70373599999999,41.704336,7,0,1,0,0,11,12,8,0,0,0,0.26,0.6,1,84,66,40,36,1,0.03,29.21,23,9.6,0,0,0,1,13.0,0,0,0,0,84,64,39,18,61,1,10,440,1917,0.02,9.3,23,10.1,0,0,0,0,1,15.0,0,0,0,1,1,1,4,train
2405,2009-09-25,-87.679447,41.801179,9,0,0,1,0,0,1,0,0,0,0,0.26,0.6,0,70,60,30,29,1,0.02,29.44,11,6.3,1,0,0,1,10.0,1,0,0,0,70,60,30,22,57,1,1,542,1744,0.16,5.4,11,7.3,1,1,0,0,1,11.0,0,0,0,1,0,1,1,train
1360,2007-10-04,-87.797127,41.990284,10,0,0,1,0,1,10,0,0,0,0,0.27,0.77,0,83,56,35,31,1,0.0,29.39,17,5.9,0,0,0,0,9.0,0,0,0,0,82,51,32,28,56,1,3,552,1729,0.0,3.9,17,4.6,0,0,0,1,0,12.0,0,0,0,1,1,1,2,train
2015,2009-07-31,-87.68776899999999,42.01743,7,0,1,0,0,0,3,5,0,0,0,0.26,0.6,0,82,62,37,31,1,0.0,29.29,27,6.7,0,0,0,0,11.0,0,0,0,0,81,58,35,12,54,1,6,444,1913,0.0,6.2,26,7.3,0,0,0,0,0,14.0,0,0,0,1,1,1,9,train
664,2007-08-15,-87.748367,41.962728000000006,8,0,1,0,0,0,1,0,0,0,0,0.29,0.67,0,81,72,42,40,1,0.83,29.23,6,7.1,0,0,0,1,12.0,1,1,1,0,80,71,41,22,67,1,12,459,1854,0.23,3.4,7,5.8,1,0,0,0,1,15.0,0,1,0,0,1,1,10,train
4427,2013-09-12,-87.756155,41.904194,9,0,0,1,0,70,45,0,0,0,0,0.26,0.58,0,83,63,38,33,1,0.06,29.34,34,9.8,0,0,0,0,9.0,0,0,0,0,82,62,37,25,59,1,8,528,1809,0.0,7.0,35,9.4,0,0,0,0,1,10.0,0,0,0,0,0,1,6,train
1128,2007-09-12,-87.654224,41.867108,9,0,0,1,0,0,2,0,0,0,0,0.29,0.67,0,66,46,21,19,30,0.0,29.46,5,6.0,0,0,0,0,13.0,0,0,0,0,67,46,22,16,42,29,1,528,1809,0.0,1.8,3,5.6,0,0,0,0,0,19.0,0,0,0,1,1,1,1,train
3777,2013-07-12,-87.800515,41.916265,7,0,1,0,0,0,11,11,0,0,0,0.26,0.58,0,82,60,36,31,1,0.0,29.44,8,5.4,0,0,0,0,19.0,0,0,0,0,83,58,36,10,53,1,7,427,1928,0.0,4.0,8,4.8,0,0,0,0,0,16.0,0,0,0,0,1,1,6,train
3742,2013-07-08,-87.669539,41.71914,7,0,1,0,0,0,2,3,0,0,0,0.26,0.58,0,87,71,44,41,1,0.84,29.31,22,10.5,0,0,0,1,21.0,1,0,0,0,86,70,43,23,71,1,14,424,1929,0.5,7.8,23,8.4,1,0,0,0,1,18.0,0,1,0,1,1,1,4,train
3329,2011-09-16,-87.679447,41.801179,9,0,0,1,0,0,0,5,0,0,0,0.25,0.57,0,59,48,19,16,4,0.0,29.65,13,3.7,0,0,0,0,13.0,0,0,0,0,58,46,17,4,40,6,1,532,1760,0.0,1.4,8,3.3,0,0,0,0,0,13.0,0,0,0,0,1,1,1,train
602,2007-08-07,-87.65449100000001,41.891118,8,0,1,0,0,5,2,0,0,0,0,0.29,0.67,0,92,73,48,45,1,0.06,29.11,24,8.8,0,0,0,0,10.0,0,0,0,1,91,72,47,27,73,1,18,451,1904,1.31,6.2,25,9.0,1,0,0,0,1,11.0,0,0,0,0,1,1,1,train
1194,2007-09-18,-87.677737,41.836644,9,0,0,1,0,2,4,0,0,0,1,0.29,0.67,0,89,66,43,34,1,0.0,29.41,19,12.8,0,0,0,0,12.0,0,0,0,0,88,63,41,30,58,1,12,535,1756,0.0,12.9,19,13.1,0,0,0,0,0,18.0,0,0,0,1,1,1,1,train
248,2007-07-11,-87.632085,41.921965,7,0,1,0,0,0,1,1,0,0,0,0.29,0.67,0,77,63,35,28,1,0.0,29.28,30,11.2,0,0,0,0,15.0,0,0,0,0,77,62,35,11,51,1,6,426,1928,0.0,8.8,30,10.9,0,0,0,0,0,15.0,0,0,0,0,0,1,9,train
3369,2011-09-23,-87.756155,41.904194,9,0,0,1,0,0,4,0,0,0,0,0.25,0.57,0,62,48,20,20,3,0.02,29.38,36,6.4,0,0,0,1,13.0,0,0,0,0,62,48,20,14,44,3,1,540,1748,0.0,5.9,36,7.0,0,0,0,0,0,13.0,0,0,0,0,1,1,6,train
3130,2011-08-26,-87.716277,41.846075,8,0,1,0,0,1,0,0,0,0,0,0.25,0.57,0,83,61,37,33,1,0.0,29.32,20,3.4,0,0,0,0,10.0,0,0,0,0,83,59,36,19,58,1,7,511,1837,0.0,1.9,26,3.3,0,0,0,0,0,12.0,0,0,0,0,1,1,1,train
4280,2013-08-29,-87.778927,41.776156,8,0,1,0,0,3,11,0,0,0,0,0.26,0.58,1,87,69,43,38,1,0.0,29.36,10,4.6,0,1,1,0,10.0,1,0,0,0,89,66,43,26,64,1,14,514,1832,0.0,3.9,10,4.7,1,0,0,1,0,12.0,0,0,0,0,0,1,8,train
4351,2013-09-06,-87.785288,41.923738,9,0,0,1,0,0,36,0,0,0,0,0.26,0.58,1,85,62,39,32,1,0.0,29.44,17,6.0,0,0,0,0,11.0,0,0,0,0,86,57,37,23,58,1,8,522,1819,0.0,4.7,20,6.0,0,0,0,0,0,11.0,0,0,0,0,0,1,6,train
271,2007-07-18,-87.785288,41.923738,7,0,1,0,0,0,2,0,0,0,0,0.29,0.67,0,85,69,42,40,1,0.92,29.18,24,10.6,0,0,1,1,15.0,1,1,1,1,85,69,42,21,68,1,13,432,1924,1.55,9.1,24,10.1,1,0,0,0,1,14.0,0,1,1,0,1,1,6,train
3038,2011-08-12,-87.562889,41.766202,8,0,1,0,0,0,1,0,0,0,0,0.25,0.57,0,82,65,39,33,1,0.0,29.28,19,8.4,0,0,0,0,9.0,0,0,0,0,81,60,36,10,59,1,7,456,1858,0.0,8.3,19,8.5,0,0,0,0,0,10.0,0,0,0,0,1,1,7,train
2717,2011-07-11,-87.559308,41.678618,7,0,1,0,0,0,7,11,0,0,3,0.25,0.57,0,90,70,45,43,1,0.13,29.18,24,8.0,0,0,0,0,15.0,1,0,1,0,88,71,45,25,71,1,16,426,1928,0.39,5.5,25,8.5,0,0,0,1,0,14.0,0,0,0,1,1,1,5,train
2489,2011-06-10,-87.66214000000001,42.010412,6,0,1,0,0,0,0,5,1,0,1,0.23,0.76,0,71,51,26,27,25,0.44,29.26,1,7.5,0,0,1,0,14.4391074161794,1,1,1,0,69,51,25,15,56,26,1,416,1926,0.52,6.4,3,8.0,1,0,0,1,1,14.3362535630461,0,0,0,1,1,1,9,train
1050,2007-09-05,-87.60088,41.773215,9,0,0,1,0,4,5,0,0,0,0,0.29,0.67,0,91,72,47,38,1,0.0,29.31,19,6.7,0,0,0,0,12.0,0,0,0,0,90,66,43,29,63,1,14,521,1821,0.0,6.4,19,6.5,0,0,0,0,1,18.0,0,0,0,1,1,1,7,train
3350,2011-09-16,-87.562889,41.766202,9,0,0,1,0,0,0,4,0,0,0,0.25,0.57,0,59,48,19,16,4,0.0,29.65,13,3.7,0,0,0,0,13.0,0,0,0,0,58,46,17,4,40,6,1,532,1760,0.0,1.4,8,3.3,0,0,0,0,0,13.0,0,0,0,0,1,1,7,train
1655,2009-06-19,-87.763416,41.801497999999995,6,0,1,0,0,0,61,18,0,0,0,0.28,0.85,0,88,66,42,39,1,0.87,29.03,18,10.5,0,0,0,1,17.0,1,1,1,0,86,65,41,24,67,1,12,416,1930,3.97,7.2,18,11.6,1,0,0,0,0,17.0,1,1,0,1,1,1,8,train
2986,2011-08-12,-87.832763,41.944869,8,0,1,0,0,0,6,0,0,0,0,0.25,0.57,0,82,65,39,33,1,0.0,29.28,19,8.4,0,0,0,0,9.0,0,0,0,0,81,60,36,10,59,1,7,456,1858,0.0,8.3,19,8.5,0,0,0,0,0,10.0,0,0,0,0,1,1,2,train
275,2007-07-18,-87.769279,41.994991,7,0,1,0,0,3,0,3,0,0,0,0.29,0.67,0,85,69,42,40,1,0.92,29.18,24,10.6,0,0,1,1,15.0,1,1,1,1,85,69,42,21,68,1,13,432,1924,1.55,9.1,24,10.1,1,0,0,0,1,14.0,0,1,1,0,1,1,2,train
22,2007-06-05,-87.800991,41.95469,6,0,1,0,0,1,3,5,0,0,0,0.26,0.8,0,63,51,22,21,29,0.27,29.16,3,8.1,0,0,0,1,19.6483478067053,1,0,0,0,64,47,21,17,48,30,1,417,1923,0.42,5.2,5,7.6,1,0,0,0,1,16.3162312117209,0,0,0,1,1,1,2,train
131,2007-06-29,-87.65449100000001,41.891118,6,0,1,0,0,0,0,2,0,0,0,0.26,0.8,0,71,56,29,29,2,0.064049753,29.47,2,8.2,0,0,0,0,18.0,0,0,0,0,70,56,28,16,55,13,1,419,1931,0.0,7.6,2,8.3,0,0,0,0,0,18.0,0,0,0,0,1,1,1,train
4117,2013-08-08,-87.60096300000001,41.728495,8,0,1,0,0,6,7,5,0,0,0,0.26,0.58,1,79,69,39,31,1,0.0,29.33,5,10.8,0,0,0,0,15.0,0,0,0,0,78,65,37,1,56,1,8,452,1903,0.0,8.6,5,9.3,0,0,0,0,0,11.0,0,0,0,0,1,1,7,train
2116,2009-08-13,-87.707973,41.682587,8,0,1,0,0,1,10,1,0,0,0,0.26,0.6,0,86,63,40,32,1,0.0,29.44,16,4.0,0,0,0,0,11.0,0,0,0,0,86,60,38,18,55,1,9,457,1856,0.0,1.5,14,3.8,0,0,0,0,0,14.0,0,0,0,1,0,1,4,train
4413,2013-09-12,-87.930995,41.957799,9,0,0,1,0,0,10,0,0,0,0,0.26,0.58,0,83,63,38,33,1,0.06,29.34,34,9.8,0,0,0,0,9.0,0,0,0,0,82,62,37,25,59,1,8,528,1809,0.0,7.0,35,9.4,0,0,0,0,1,10.0,0,0,0,0,0,1,3,train
875,2007-08-24,-87.79518,41.921177,8,0,1,0,0,7,15,0,0,0,1,0.29,0.67,0,81,69,40,38,1,0.2,29.16,25,7.3,0,0,0,1,14.0,1,1,1,0,80,69,40,22,67,1,11,509,1840,0.24,5.8,25,7.1,0,0,0,0,1,19.0,0,1,0,1,1,1,6,train
99,2007-06-26,-87.654224,41.867108,6,0,1,0,0,0,2,0,0,0,0,0.26,0.8,0,91,73,47,41,1,0.0,29.45,21,8.1,0,0,1,0,18.0,1,0,0,0,92,70,46,28,69,1,17,418,1931,0.16,6.1,22,7.1,1,0,0,1,0,19.0,0,1,1,0,1,1,1,train
1347,2007-09-25,-87.585413,41.726465000000005,9,0,0,1,0,9,7,1,0,0,0,0.29,0.67,0,83,67,40,38,1,0.01,29.29,23,9.4,0,0,0,0,10.0,0,0,1,0,85,63,39,31,65,1,10,542,1744,0.27,7.9,23,10.5,0,0,0,0,1,14.0,1,0,0,1,1,1,7,train
1559,2009-06-05,-87.757639,41.964242,6,0,1,0,0,0,0,1,0,0,0,0.28,0.85,0,80,47,29,23,2,0.0,29.23,25,7.2,0,0,0,0,12.0216409366304,0,0,0,0,79,44,27,11,44,24,1,417,1923,0.0,5.8,26,6.7,0,0,0,0,0,13.115529037562899,0,0,0,1,1,1,10,train
2384,2009-09-25,-87.736812,41.798697,9,0,0,1,0,0,1,0,0,0,0,0.26,0.6,0,70,60,30,29,1,0.02,29.44,11,6.3,1,0,0,1,10.0,1,0,0,0,70,60,30,22,57,1,1,542,1744,0.16,5.4,11,7.3,1,1,0,0,1,11.0,0,0,0,1,0,1,8,train
4370,2013-09-06,-87.716788,41.899229999999996,9,0,0,1,0,45,24,0,0,0,0,0.26,0.58,1,85,62,39,32,1,0.0,29.44,17,6.0,0,0,0,0,11.0,0,0,0,0,86,57,37,23,58,1,8,522,1819,0.0,4.7,20,6.0,0,0,0,0,0,11.0,0,0,0,0,0,1,6,train
52,2007-06-05,-87.64997,41.723195000000004,6,0,1,0,0,0,0,1,0,0,0,0.26,0.8,0,63,51,22,21,29,0.27,29.16,3,8.1,0,0,0,1,19.6483478067053,1,0,0,0,64,47,21,17,48,30,1,417,1923,0.42,5.2,5,7.6,1,0,0,0,1,16.3162312117209,0,0,0,1,1,1,4,train
4115,2013-08-08,-87.612922,41.754676,8,0,1,0,0,5,24,6,0,0,0,0.26,0.58,1,79,69,39,31,1,0.0,29.33,5,10.8,0,0,0,0,15.0,0,0,0,0,78,65,37,1,56,1,8,452,1903,0.0,8.6,5,9.3,0,0,0,0,0,11.0,0,0,0,0,1,1,7,train
4043,2013-08-01,-87.605294,41.750498,8,0,1,0,0,0,2,7,0,0,0,0.26,0.58,0,82,61,37,31,1,0.0,29.29,29,7.1,0,0,0,0,14.0,0,0,0,0,81,61,36,10,57,1,7,445,1911,0.0,7.6,30,7.8,0,0,0,0,0,11.0,0,0,0,0,1,1,7,train
1346,2007-09-25,-87.599862,41.673408,9,0,0,1,0,0,158,0,0,0,0,0.29,0.67,0,83,67,40,38,1,0.01,29.29,23,9.4,0,0,0,0,10.0,0,0,1,0,85,63,39,31,65,1,10,542,1744,0.27,7.9,23,10.5,0,0,0,0,1,14.0,1,0,0,1,1,1,5,train
4057,2013-08-08,-87.890615,41.974689,8,0,1,0,0,49,110,4,0,0,0,0.26,0.58,1,79,69,39,31,1,0.0,29.33,5,10.8,0,0,0,0,15.0,0,0,0,0,78,65,37,1,56,1,8,452,1903,0.0,8.6,5,9.3,0,0,0,0,0,11.0,0,0,0,0,1,1,3,train
4330,2013-08-29,-87.605294,41.750498,8,0,1,0,0,12,0,0,0,0,0,0.26,0.58,0,87,69,43,38,1,0.0,29.36,10,4.6,0,1,1,0,10.0,1,0,0,0,89,66,43,26,64,1,14,514,1832,0.0,3.9,10,4.7,1,0,0,1,0,12.0,0,0,0,0,0,1,7,train
3056,2011-08-19,-87.756155,41.904194,8,0,1,0,0,9,13,0,0,0,0,0.25,0.57,0,86,67,42,37,1,0.0,29.23,13,5.8,0,0,0,0,9.0,0,0,0,0,87,64,41,23,63,1,12,503,1848,0.0,3.3,14,5.2,0,0,0,0,0,12.0,0,0,0,0,1,1,6,train
527,2007-08-02,-87.56566600000001,41.704572,8,0,1,0,0,33,46,0,0,0,0,0.29,0.67,0,91,73,47,41,1,0.0,29.31,23,7.2,0,0,0,0,12.0,0,0,0,0,91,70,46,26,66,1,17,446,1910,0.0,5.5,26,5.9,0,0,0,1,0,11.0,0,0,0,0,1,1,5,train
2171,2009-08-25,-87.666014,41.720848,8,0,1,0,0,0,2,2,0,0,0,0.26,0.6,0,82,61,37,34,1,0.0,29.39,21,8.6,0,0,0,0,11.0,0,0,0,0,83,59,36,19,61,1,7,510,1839,0.0,9.1,21,9.2,0,0,0,0,0,12.0,0,0,0,0,0,1,4,train
1708,2009-06-26,-87.77792099999999,42.008314,6,0,1,0,0,1,67,14,0,0,0,0.28,0.85,0,86,72,44,36,1,0.0,29.2,4,8.0,0,0,0,0,15.0,0,0,0,0,86,69,43,25,60,1,14,418,1931,0.0,6.4,4,8.2,0,0,0,0,0,15.0,0,0,0,1,1,1,2,train
1757,2009-07-06,-87.832763,41.944869,7,0,1,0,0,0,5,10,0,0,0,0.26,0.6,0,85,63,39,32,1,0.0,29.2,30,5.5,0,0,0,0,16.0,0,0,0,0,86,60,38,19,54,1,9,423,1930,0.0,7.5,31,7.8,0,0,0,0,0,17.0,0,0,0,1,1,1,2,train
860,2007-08-22,-87.54306700000001,41.737052,8,0,1,0,0,4,1,0,0,0,0,0.29,0.67,0,90,70,45,42,1,0.88,29.29,21,8.4,0,0,0,1,14.0,1,0,1,0,90,69,45,27,71,1,16,506,1843,0.37,5.3,21,9.5,0,0,0,0,1,18.0,1,1,0,1,1,1,7,train
467,2007-08-01,-87.666455,41.9216,8,0,1,0,0,10,23,0,0,0,0,0.29,0.67,0,91,69,45,39,1,0.0,29.34,13,3.7,0,0,0,0,13.0,0,0,0,0,92,69,46,26,62,1,17,445,1911,0.0,3.5,9,4.1,0,0,0,1,0,12.0,0,0,0,0,1,1,9,train
3103,2011-08-26,-87.930995,41.957799,8,0,1,0,0,0,13,3,0,0,0,0.25,0.57,0,83,61,37,33,1,0.0,29.32,20,3.4,0,0,0,0,10.0,0,0,0,0,83,59,36,19,58,1,7,511,1837,0.0,1.9,26,3.3,0,0,0,0,0,12.0,0,0,0,0,1,1,3,train
2879,2011-07-29,-87.728492,41.984809000000006,7,0,1,0,0,4,9,3,0,0,1,0.25,0.57,0,86,74,45,41,1,0.36,29.34,4,5.6,0,0,0,0,12.0,1,0,1,0,86,71,44,23,67,1,15,442,1915,0.7,4.3,4,5.9,1,0,0,0,0,14.0,0,0,0,1,1,1,10,train
4313,2013-08-29,-87.666901,41.868077,8,0,1,0,0,29,156,12,0,0,0,0.26,0.58,1,87,69,43,38,1,0.0,29.36,10,4.6,0,1,1,0,10.0,1,0,0,0,89,66,43,26,64,1,14,514,1832,0.0,3.9,10,4.7,1,0,0,1,0,12.0,0,0,0,0,0,1,1,train
4469,2013-09-12,-87.612922,41.754676,9,0,0,1,0,2,2,0,0,0,0,0.26,0.58,0,83,63,38,33,1,0.06,29.34,34,9.8,0,0,0,0,9.0,0,0,0,0,82,62,37,25,59,1,8,528,1809,0.0,7.0,35,9.4,0,0,0,0,1,10.0,0,0,0,0,0,1,7,train
