"ID","Station2","Date2","Tmax2","Tmin2","Tavg2","DewPoint2","WetBulb2","Heat2","Cool2","PrecipTotal2","StnPressure2","SeaLevel2","ResultSpeed2","ResultDir2","AvgSpeed2","BCFG2","BR2","DZ2","FG2","FG.2","FU2","GR2","HZ2","RA2","SN2","SQ2","TS2","TSRA2","VCFG2","VCTS2","Tmax2.imp","Tavg2.imp","PrecipTotal2.imp"
13,2,2007-05-13,69,44,22,32,15,29,1,0,29.55,30.24,6.4,11,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,22,0
14,2,2007-05-14,90,54,37,45,27,1,8,0,29.31,29.98,14.1,21,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,37,0
15,2,2007-05-15,82,56,34,56,30,1,5,0.6,29.19,29.83,8.1,25,10.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,82,34,0.6
16,2,2007-05-16,64,45,20,42,16,3,1,0.07,29.39,30.03,8,36,11.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,64,20,0.07
17,2,2007-05-17,61,44,18,32,12,5,1,0,29.62,30.27,11.7,1,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,18,0
18,2,2007-05-18,70,43,22,31,16,29,1,0,29.6,30.26,3.4,22,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,0
19,2,2007-05-19,80,56,33,37,22,1,4,0,29.41,30.08,11.1,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,33,0
20,2,2007-05-20,69,44,22,41,14,29,1,0.11,29.44,30.11,8.6,3,9.7,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,69,22,0.11
21,2,2007-05-21,79,46,28,50,26,13,1,0,29.39,30.05,6.3,10,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,28,0
22,2,2007-05-22,87,60,39,44,27,1,10,0,29.41,30.05,10.1,16,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,39,0
23,2,2007-05-23,89,66,43,48,30,1,14,0,29.47,30.1,10.9,18,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,0
24,2,2007-05-24,88,66,42,53,32,1,13,0,29.47,30.1,13.8,20,15.2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,88,42,0
25,2,2007-05-25,66,57,27,46,22,24,1,0.09,29.57,30.23,4.5,5,8.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,66,27,0.09
26,2,2007-05-26,70,50,25,55,26,26,1,0.28,29.42,30.1,2.5,15,7.8,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,70,25,0.28
27,2,2007-05-27,75,59,32,49,26,1,3,0.08,29.41,30.05,8.2,24,9.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75,32,0.08
28,2,2007-05-28,76,54,30,49,26,1,1,0,29.49,30.14,4.7,8,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,30,0
29,2,2007-05-29,88,65,42,59,35,1,13,0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,42,0
30,2,2007-05-30,89,70,45,57,35,1,16,0,29.38,30.03,9.7,17,10.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,89,45,0
31,2,2007-05-31,80,68,39,61,35,1,10,0.53,29.34,29.99,8.9,18,9.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,80,39,0.53
32,2,2007-06-01,86,67,42,63,36,1,13,0.21,29.25,29.9,4.7,16,5.8,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,86,42,0.21
33,2,2007-06-02,81,68,40,62,36,1,11,0,29.1,29.76,7.5,21,8.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,81,40,0
34,2,2007-06-03,77,64,36,60,33,1,7,0.32,28.87,29.54,4.9,24,7.2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,77,36,0.32
35,2,2007-06-04,72,56,29,57,29,2,1,0.31,28.88,29.51,7.9,30,10.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,72,29,0.31
36,2,2007-06-05,63,51,22,47,21,29,1,0.27,29.16,29.78,6.2,3,8.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,63,22,0.27
37,2,2007-06-06,73,48,26,47,24,25,1,0,29.13,29.82,9.6,15,10.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,26,0
38,2,2007-06-07,92,71,47,61,37,1,18,0,28.91,29.55,20.3,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,47,0
39,2,2007-06-08,81,63,37,54,31,1,8,0,29.24,29.83,9.3,26,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,37,0
40,2,2007-06-09,79,57,33,49,27,1,4,0,29.42,30.05,2.4,19,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,33,0
41,2,2007-06-10,81,61,36,50,29,1,7,0,29.39,30.04,4.6,16,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,36,0
42,2,2007-06-11,85,65,40,51,30,1,11,0,29.47,30.09,6.6,9,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,40,0
43,2,2007-06-12,82,66,39,51,30,1,10,0,29.49,30.14,9.4,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,39,0
44,2,2007-06-13,86,68,42,53,31,1,13,0,NA,NA,7,5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,42,0
45,2,2007-06-14,89,68,44,54,32,1,15,0,29.36,30,5.9,7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,44,0
46,2,2007-06-15,89,67,43,56,34,1,14,0,29.34,29.97,3.8,9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,0
47,2,2007-06-16,92,68,45,61,37,1,16,0,29.33,29.96,2.1,22,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92,45,0
48,2,2007-06-17,91,71,46,65,39,1,17,0.16,29.28,29.93,4,11,6.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,91,46,0.16
49,2,2007-06-18,89,73,46,65,39,1,17,0.02,29.19,29.83,12.2,20,12.6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,89,46,0.02
50,2,2007-06-19,81,65,38,55,32,1,9,0.93,29.31,29.93,10.1,29,11.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,81,38,0.93
51,2,2007-06-20,85,62,39,50,30,1,10,0,29.46,30.09,5.9,28,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,0
52,2,2007-06-21,80,66,38,51,30,1,9,0,29.41,30.06,3.7,2,9.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80,38,0
53,2,2007-06-22,75,62,34,49,27,1,5,0,29.39,30.05,6.5,7,8.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75,34,0
54,2,2007-06-23,68,61,30,60,31,1,1,0.34,29.28,29.95,7.3,11,8.1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68,30,0.34
55,2,2007-06-24,75,65,35,62,34,1,6,0,29.33,29.96,5.6,10,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,75,35,0
56,2,2007-06-25,86,67,42,67,39,1,13,0,29.44,30.06,4,12,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,86,42,0
57,2,2007-06-26,91,73,47,69,41,1,18,0,29.45,30.09,7.3,21,8.1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,91,47,0
58,2,2007-06-27,89,71,45,69,41,1,16,0.35,29.36,30,7.9,24,8.5,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,89,45,0.35
59,2,2007-06-28,73,61,32,56,30,1,3,NA,29.43,30.07,12.2,2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,32,0.95046952118854
60,2,2007-06-29,71,56,29,56,29,2,1,NA,29.47,30.11,7.4,2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,29,0.0640497532250698
61,2,2007-06-30,77,58,33,49,27,1,4,0,29.46,30.11,5.1,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,33,0
62,2,2007-07-01,76,61,34,51,28,1,5,0,29.56,30.21,9.5,4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,34,0
63,2,2007-07-02,77,58,33,50,28,1,4,0,29.55,30.21,7.4,12,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,33,0
64,2,2007-07-03,83,63,38,56,32,1,9,0.09,29.38,30.05,6.4,21,7.4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,83,38,0.09
65,2,2007-07-04,84,67,41,65,38,1,12,0.66,29.23,29.88,3.1,25,8.8,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,84,41,0.66
66,2,2007-07-05,88,70,44,60,36,1,15,0,29.29,29.92,4.3,33,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,44,0
67,2,2007-07-06,84,68,41,57,34,1,12,0,29.38,30.01,3.3,7,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,41,0
68,2,2007-07-07,88,68,43,62,37,1,14,0,29.24,29.9,7.4,23,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,43,0
69,2,2007-07-08,93,75,49,67,41,1,20,0,29.12,29.76,12.6,23,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,49,0
70,2,2007-07-09,93,72,48,67,40,1,19,0.24,29.16,29.79,4.8,23,8.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,93,48,0.24
71,2,2007-07-10,89,70,45,67,40,1,16,0.08,29.13,29.76,8.2,23,10.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,89,45,0.08
72,2,2007-07-11,77,63,35,51,28,1,6,0,29.28,29.92,9.1,30,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,35,0
73,2,2007-07-12,80,60,35,51,29,1,6,0,29.28,29.92,10,28,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,35,0
74,2,2007-07-13,74,59,32,53,28,1,3,0,29.33,29.98,2,7,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,32,0
75,2,2007-07-14,85,62,39,55,31,1,10,0,29.14,29.79,8.4,25,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,0
76,2,2007-07-15,80,64,37,52,30,1,8,0,29.25,29.88,1.2,9,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,37,0
77,2,2007-07-16,82,66,39,60,34,1,10,0.07,29.31,29.94,5.6,23,6.6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,82,39,0.07
78,2,2007-07-17,83,69,41,65,38,1,12,0.11,29.24,29.89,6.3,23,7.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,83,41,0.11
79,2,2007-07-18,85,69,42,69,40,1,13,0.92,29.18,29.83,10.3,24,10.6,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,85,42,0.92
80,2,2007-07-19,82,63,38,62,35,1,9,0.01,29.26,29.88,7.7,36,14.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,82,38,0.01
81,2,2007-07-20,74,62,33,52,28,1,4,0,29.49,30.12,11.3,4,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,33,0
82,2,2007-07-21,75,58,32,52,28,1,3,0,29.57,30.21,5.8,4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,32,0
83,2,2007-07-22,81,61,36,54,30,1,7,0,29.54,30.2,1.9,18,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,36,0
84,2,2007-07-23,82,63,38,55,32,1,9,0,29.42,30.09,2.9,12,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,38,0
85,2,2007-07-24,82,65,39,57,33,1,10,0,29.38,30.03,1.1,21,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,39,0
86,2,2007-07-25,83,70,42,60,35,1,13,0,29.35,29.99,6.4,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,42,0
87,2,2007-07-26,84,64,39,65,37,1,10,0.89,29.25,29.91,7.2,22,9.9,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,84,39,0.89
88,2,2007-07-27,83,70,42,67,39,1,13,0.04,29.16,29.8,1.2,36,8.1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,83,42,0.04
89,2,2007-07-28,80,70,40,65,37,1,11,0,29.28,29.91,10.6,3,10.7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,80,40,0
90,2,2007-07-29,85,67,41,56,33,1,12,0,29.34,29.97,6.3,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,41,0
91,2,2007-07-30,86,65,41,57,34,1,12,0,29.39,30.01,3.1,6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,41,0
92,2,2007-07-31,89,69,44,60,37,1,15,0,29.39,30.02,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,44,0
93,2,2007-08-01,91,69,45,63,39,1,16,0,29.34,29.98,2.1,13,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,45,0
94,2,2007-08-02,91,73,47,66,41,1,18,0,29.31,29.95,6.5,23,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,47,0
95,2,2007-08-03,88,73,46,58,36,1,17,0,29.36,30,3.3,6,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,46,0
96,2,2007-08-04,81,68,40,58,34,1,11,0.02,29.36,30.01,5.9,9,6.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,81,40,0.02
97,2,2007-08-05,88,68,43,71,41,1,14,0.97,29.15,29.79,7,22,10.2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,88,43,0.97
98,2,2007-08-06,85,75,45,72,43,1,16,0.05,29.17,29.81,2.6,10,4.6,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,85,45,0.05
99,2,2007-08-07,92,73,48,73,45,1,19,0.06,29.11,29.74,6.3,24,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92,48,0.06
100,2,2007-08-08,87,74,46,72,43,1,17,0.09,29.18,29.81,1.5,4,6.4,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,87,46,0.09
101,2,2007-08-09,85,73,44,71,42,1,15,0.46,29.19,29.82,3.1,27,6.3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,85,44,0.46
102,2,2007-08-10,86,73,45,69,41,1,16,0,29.32,29.94,3,6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,45,0
103,2,2007-08-11,88,68,43,65,39,1,14,0,29.38,30,3.1,20,3.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,88,43,0
104,2,2007-08-12,87,68,43,67,39,1,14,0.23,29.4,30.04,1.9,6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,87,43,0.23
105,2,2007-08-13,80,69,40,54,32,1,11,0,29.44,30.08,6.9,8,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,40,0
106,2,2007-08-14,84,65,40,66,38,1,11,0.45,29.29,29.92,6.4,23,9,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,84,40,0.45
107,2,2007-08-15,81,72,42,69,40,1,13,0.83,29.23,29.87,4.9,6,7.1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,81,42,0.83
108,2,2007-08-16,77,67,37,65,37,1,8,0,29.33,29.95,3.5,1,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,77,37,0
109,2,2007-08-17,80,65,38,54,31,1,9,0,29.46,30.08,6.1,31,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,38,0
110,2,2007-08-18,69,60,30,54,27,1,1,0.42,29.48,30.15,6.1,13,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,69,30,0.42
111,2,2007-08-19,69,62,31,63,33,1,2,1.33,29.3,29.98,5.5,10,7.5,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,69,31,1.33
112,2,2007-08-20,76,68,37,69,39,1,8,0.48,29.21,29.85,2.4,20,5.9,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,76,37,0.48
113,2,2007-08-21,85,69,42,70,41,1,13,0.01,29.26,29.89,3.5,17,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,42,0.01
114,2,2007-08-22,90,70,45,70,42,1,16,0.88,29.29,29.93,5.1,21,8.4,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,90,45,0.88
115,2,2007-08-23,89,70,45,69,40,1,16,1.96,29.21,29.86,6.7,21,9.1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,89,45,1.96
116,2,2007-08-24,81,69,40,67,38,1,11,0.2,29.16,29.81,5.5,25,7.3,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,81,40,0.2
117,2,2007-08-25,76,65,36,63,35,1,7,0.25,29.29,29.91,2.4,3,6.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,76,36,0.25
118,2,2007-08-26,78,61,35,55,31,1,6,0,29.44,30.07,3.7,11,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,35,0
119,2,2007-08-27,79,63,36,59,33,1,7,0,29.41,30.06,6.4,16,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,36,0
120,2,2007-08-28,90,69,45,65,39,1,16,0,29.34,29.98,7.8,21,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,45,0
121,2,2007-08-29,86,69,43,64,38,1,14,0,29.39,30.02,5.3,3,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,43,0
122,2,2007-08-30,75,60,33,54,30,1,4,0,29.51,30.15,10.8,3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,33,0
123,2,2007-08-31,76,57,32,54,29,1,3,0,29.52,30.17,3,6,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,32,0
124,2,2007-09-01,79,60,35,56,31,1,6,0,29.54,30.2,4.4,11,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,35,0
125,2,2007-09-02,84,62,38,56,32,1,9,0,29.47,30.13,4.8,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,38,0
126,2,2007-09-03,88,64,41,61,36,1,12,0,29.42,30.07,3,25,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,41,0
127,2,2007-09-04,90,67,44,59,36,1,15,0,29.34,29.99,2.2,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,0
128,2,2007-09-05,91,72,47,62,38,1,18,0,29.31,29.94,6.4,19,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,47,0
129,2,2007-09-06,84,74,44,66,39,1,15,0.08,29.27,29.91,12.8,20,13,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,84,44,0.08
130,2,2007-09-07,84,71,43,67,39,1,14,0.67,29.21,29.84,9.5,23,13,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,84,43,0.67
131,2,2007-09-08,78,68,38,58,33,1,9,0,29.34,29.98,8.4,5,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,38,0
132,2,2007-09-09,79,63,36,59,33,1,7,0,29.41,30.03,10.1,3,10.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,36,0
133,2,2007-09-10,73,55,29,59,31,2,1,0.25,29.34,30.01,7.4,3,9.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,29,0.25
134,2,2007-09-11,71,51,26,44,21,25,1,0,29.26,29.91,12.1,29,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,26,0
135,2,2007-09-12,66,46,21,43,19,30,1,0,29.46,30.11,1.9,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,0
136,2,2007-09-13,79,53,31,43,23,1,2,0,29.3,29.98,7.1,20,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,31,0
137,2,2007-09-14,67,47,22,40,18,29,1,0,29.41,30.04,11.7,32,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,22,0
138,2,2007-09-15,62,42,17,35,14,6,1,0,29.62,30.28,1.1,35,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,17,0
139,2,2007-09-16,72,49,26,38,19,25,1,0,29.52,30.2,7.7,18,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,26,0
140,2,2007-09-17,80,55,33,48,26,1,4,0,29.46,30.12,10.6,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,33,0
141,2,2007-09-18,89,66,43,57,34,1,14,0,29.41,30.05,12.5,19,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,43,0
142,2,2007-09-19,84,68,41,59,34,1,12,0,29.47,30.09,3.5,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,41,0
143,2,2007-09-20,76,63,35,59,33,1,6,0,29.44,30.1,5.6,8,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,35,0
144,2,2007-09-21,90,68,44,59,35,1,15,0,29.23,29.89,9.8,22,11.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90,44,0
145,2,2007-09-22,72,58,30,45,24,1,1,0,29.48,30.1,4.3,1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,30,0
146,2,2007-09-23,83,55,34,50,28,1,5,0,29.49,30.15,5.9,12,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,34,0
147,2,2007-09-24,91,71,46,62,38,1,17,0,29.34,29.98,10,19,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,46,0
148,2,2007-09-25,83,67,40,66,38,1,11,0.01,29.29,29.93,7.3,23,9.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83,40,0.01
149,2,2007-09-26,68,55,27,51,25,24,1,0.14,29.37,30.02,4.8,2,7.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68,27,0.14
150,2,2007-09-27,74,52,28,49,24,13,1,0,29.31,29.97,4.5,25,5.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,74,28,0
151,2,2007-09-28,73,53,28,46,23,13,1,0,29.52,30.16,3.1,7,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,28,0
152,2,2007-09-29,82,52,32,45,24,1,3,0,29.57,30.23,8.4,17,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,32,0
153,2,2007-09-30,84,61,38,48,28,1,9,0.14,29.44,30.1,12.9,19,13.2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,84,38,0.14
154,2,2007-10-01,68,59,29,59,30,2,1,0.17,29.35,30,7.9,21,8.9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,68,29,0.17
155,2,2007-10-02,80,59,35,59,32,1,6,0.11,29.25,29.92,10,19,10.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,80,35,0.11
156,2,2007-10-03,74,56,30,47,25,1,1,0,29.34,29.97,4.8,25,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,30,0
157,2,2007-10-04,83,56,35,56,31,1,6,0,29.39,30.03,4.6,17,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,35,0
158,2,2007-10-05,85,68,42,65,38,1,13,0.06,29.42,30.06,6.8,18,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,85,42,0.06
159,2,2007-10-06,88,71,45,66,40,1,16,0,29.39,30.03,6.4,21,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,45,0
160,2,2007-10-07,88,70,44,65,39,1,15,0,29.38,30.01,5.3,19,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,44,0
161,2,2007-10-08,88,62,40,60,35,1,11,0,29.28,29.92,7.3,24,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,40,0
162,2,2007-10-09,77,50,29,44,22,2,1,0,29.27,29.93,12.1,28,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,29,0
163,2,2007-10-10,53,47,15,37,13,8,1,0,29.26,29.93,14.4,31,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,15,0
164,2,2007-10-11,56,48,17,39,14,6,1,0,29.34,30,14.6,36,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,17,0
165,2,2007-10-12,57,45,16,35,12,7,1,0,29.34,30.02,2.8,36,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,16,0
